Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.083333 	0.00075660 	0.00000 
0.10000 	0.0017023 	-0.0016194 
0.11667 	0.0026481 	0.00000 
0.13333 	0.0039721 	-0.0016194 
0.15000 	0.0054853 	0.00000 
0.16667 	0.0069985 	0.00000 
0.18333 	0.0085117 	0.00000 
0.20000 	0.010403 	0.0016178 
0.21667 	0.012484 	0.0016178 
0.23333 	0.014186 	0.0032355 
0.25000 	0.015889 	0.0016178 
0.26667 	0.017402 	0.0032355 
0.28333 	0.019104 	0.0048533 
0.30000 	0.020806 	0.0048533 
0.31667 	0.022509 	0.0048533 
0.33333 	0.024211 	0.0048533 
0.35000 	0.025724 	0.0064711 
0.36667 	0.027427 	0.0064711 
0.38333 	0.028940 	0.0080889 
0.40000 	0.030453 	0.0080889 
0.41667 	0.031966 	0.0080889 
0.43333 	0.033669 	0.0097066 
0.45000 	0.035371 	0.0080889 
0.46667 	0.037073 	0.0097066 
0.48333 	0.038776 	0.0097066 
0.50000 	0.040478 	0.0097066 
0.51667 	0.041991 	0.011324 
0.53333 	0.043693 	0.011324 
0.55000 	0.045207 	0.011324 
0.56667 	0.046909 	0.011324 
0.58333 	0.048611 	0.011324 
0.60000 	0.050314 	0.011324 
0.61667 	0.052016 	0.011324 
0.63333 	0.053907 	0.012942 
0.65000 	0.055610 	0.012942 
0.66667 	0.057312 	0.012942 
0.68333 	0.059014 	0.012942 
0.70000 	0.060528 	0.012942 
0.71667 	0.062230 	0.012942 
0.73333 	0.063932 	0.012942 
0.75000 	0.065635 	0.012942 
0.76667 	0.067337 	0.012942 
0.78333 	0.069229 	0.012942 
0.80000 	0.070931 	0.012942 
0.81667 	0.072633 	0.014560 
0.83333 	0.074146 	0.012942 
0.85000 	0.075849 	0.012942 
0.86667 	0.077362 	0.012942 
0.88333 	0.078875 	0.014560 
0.90000 	0.080577 	0.012942 
0.91667 	0.082280 	0.012942 
0.93333 	0.083982 	0.014560 
0.95000 	0.085685 	0.012942 
0.96667 	0.087387 	0.014560 
0.98333 	0.089089 	0.014560 
1.0000 	0.090602 	0.014560 
1.0167 	0.092305 	0.014560 
1.0333 	0.093818 	0.014560 
1.0500 	0.095520 	0.014560 
1.0667 	0.097223 	0.014560 
1.0833 	0.098925 	0.014560 
1.1000 	0.10063 	0.014560 
1.1167 	0.10233 	0.014560 
