Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.10000 	0.0015132 	0.0016178 
0.11667 	0.0034047 	0.0016178 
0.13333 	0.0051070 	0.00000 
0.15000 	0.0064311 	0.00000 
0.16667 	0.0073768 	0.0016178 
0.18333 	0.0085117 	0.0016178 
0.20000 	0.0098357 	0.0016178 
0.21667 	0.011349 	0.0016178 
0.23333 	0.012862 	0.00000 
0.25000 	0.014564 	0.0016178 
0.26667 	0.016267 	0.0016178 
0.28333 	0.017969 	0.0016178 
0.30000 	0.019671 	0.0016178 
0.31667 	0.021752 	0.0016178 
0.33333 	0.023644 	0.0016178 
0.35000 	0.025346 	0.0016178 
0.36667 	0.027048 	0.0016178 
0.38333 	0.028751 	0.0016178 
0.40000 	0.030453 	0.0016178 
0.41667 	0.032155 	0.0016178 
0.43333 	0.034047 	0.0016178 
0.45000 	0.035749 	0.0016178 
0.46667 	0.037452 	0.0032355 
0.48333 	0.039154 	0.0016178 
0.50000 	0.040667 	0.00000 
0.51667 	0.042369 	0.0016178 
0.53333 	0.043883 	0.0016178 
0.55000 	0.045585 	0.0016178 
0.56667 	0.047287 	0.0016178 
0.58333 	0.048990 	0.0016178 
0.60000 	0.050692 	0.0016178 
0.61667 	0.052394 	0.0016178 
0.63333 	0.054097 	0.0016178 
0.65000 	0.055610 	0.0016178 
0.66667 	0.057312 	0.0032355 
0.68333 	0.058825 	0.0016178 
0.70000 	0.060528 	0.0016178 
0.71667 	0.062230 	0.0016178 
0.73333 	0.063932 	0.00000 
0.75000 	0.065635 	0.0016178 
0.76667 	0.067337 	0.0016178 
0.78333 	0.069039 	0.0016178 
0.80000 	0.070742 	0.0016178 
0.81667 	0.072255 	0.0016178 
0.83333 	0.073957 	0.0016178 
0.85000 	0.075660 	0.0016178 
0.86667 	0.077362 	0.0016178 
0.88333 	0.079064 	0.0016178 
0.90000 	0.080767 	0.0016178 
0.91667 	0.082469 	0.0016178 
0.93333 	0.084171 	0.0016178 
0.95000 	0.085874 	0.0016178 
0.96667 	0.087387 	0.0016178 
0.98333 	0.089089 	0.0016178 
1.0000 	0.090602 	0.0016178 
1.0167 	0.092116 	0.0016178 
1.0333 	0.093818 	0.0016178 
1.0500 	0.095520 	0.0016178 
1.0667 	0.097223 	0.0016178 
1.0833 	0.098925 	0.0016178 
1.1000 	0.10063 	0.0016178 
1.1167 	0.10233 	0.0016178 
1.1333 	0.10384 	0.0016178 
1.1500 	0.10536 	0.0016178 
1.1667 	0.10706 	0.0016178 
1.1833 	0.10857 	0.0016178 
1.2000 	0.11027 	0.0016178 
1.2167 	0.11198 	0.0016178 
1.2333 	0.11368 	0.0016178 
1.2500 	0.11538 	0.0016178 
1.2667 	0.11708 	0.0032355 
1.2833 	0.11860 	0.0016178 
1.3000 	0.12030 	0.0016178 
1.3167 	0.12181 	0.0016178 
1.3333 	0.12351 	0.0016178 
1.3500 	0.12522 	0.0016178 
1.3667 	0.12711 	0.0032355 
1.3833 	0.12881 	0.0016178 
1.4000 	0.13051 	0.0016178 
1.4167 	0.13222 	0.0016178 
1.4333 	0.13392 	0.0016178 
1.4500 	0.13562 	0.0016178 
1.4667 	0.13713 	0.0016178 
1.4833 	0.13884 	0.0016178 
1.5000 	0.14054 	0.0016178 
1.5167 	0.14224 	0.0016178 
1.5333 	0.14394 	0.00000 
1.5500 	0.14564 	0.0016178 
1.5667 	0.14735 	0.0016178 
1.5833 	0.14905 	0.0016178 
1.6000 	0.15075 	0.0016178 
1.6167 	0.15226 	0.0016178 
1.6333 	0.15378 	0.0016178 
1.6500 	0.15548 	0.0016178 
1.6667 	0.15718 	0.0016178 
1.6833 	0.15889 	0.0016178 
1.7000 	0.16059 	0.0016178 
1.7167 	0.16229 	0.0016178 
1.7333 	0.16399 	0.0016178 
1.7500 	0.16551 	0.0016178 
1.7667 	0.16721 	0.0016178 
1.7833 	0.16872 	0.0016178 
1.8000 	0.17042 	0.0016178 
1.8167 	0.17213 	0.0016178 
1.8333 	0.17383 	0.0016178 
1.8500 	0.17553 	0.0016178 
