Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.083333 	0.00075660 	0.00000 
0.10000 	0.0020806 	0.00000 
0.11667 	0.0039721 	0.00000 
0.13333 	0.0054853 	0.00000 
0.15000 	0.0068094 	-0.0016194 
0.16667 	0.0077551 	0.00000 
0.18333 	0.0090792 	0.00000 
0.20000 	0.010403 	0.00000 
0.21667 	0.011916 	0.00000 
0.23333 	0.013430 	0.0016178 
0.25000 	0.015132 	0.0016178 
0.26667 	0.016645 	0.0016178 
0.28333 	0.018347 	0.0016178 
0.30000 	0.020239 	0.0016178 
0.31667 	0.021941 	0.0032355 
0.33333 	0.024022 	0.0016178 
0.35000 	0.026103 	0.0016178 
0.36667 	0.027805 	0.0016178 
0.38333 	0.029507 	0.0016178 
0.40000 	0.031020 	0.0032355 
0.41667 	0.032723 	0.0032355 
0.43333 	0.034236 	0.0016178 
0.45000 	0.036127 	0.0016178 
0.46667 	0.037830 	0.0016178 
0.48333 	0.039532 	0.0016178 
0.50000 	0.041234 	0.0016178 
0.51667 	0.042937 	0.0032355 
0.53333 	0.044450 	0.0016178 
0.55000 	0.046152 	0.0016178 
0.56667 	0.047666 	0.0016178 
0.58333 	0.049368 	0.0032355 
0.60000 	0.051070 	0.0032355 
0.61667 	0.052962 	0.0016178 
0.63333 	0.054664 	0.0016178 
0.65000 	0.056366 	0.0032355 
0.66667 	0.058069 	0.0032355 
0.68333 	0.059582 	0.0016178 
0.70000 	0.061284 	0.0016178 
0.71667 	0.062797 	0.0016178 
0.73333 	0.064500 	0.0032355 
0.75000 	0.066202 	0.0032355 
0.76667 	0.067904 	0.0016178 
0.78333 	0.069607 	0.0016178 
0.80000 	0.071309 	0.0016178 
0.81667 	0.072822 	0.0032355 
0.83333 	0.074525 	0.0032355 
0.85000 	0.076038 	0.0016178 
0.86667 	0.077551 	0.0016178 
0.88333 	0.079253 	0.0016178 
0.90000 	0.080767 	0.0032355 
0.91667 	0.082469 	0.0016178 
0.93333 	0.084171 	0.0032355 
0.95000 	0.085874 	0.0016178 
0.96667 	0.087576 	0.0032355 
0.98333 	0.089278 	0.0016178 
1.0000 	0.090981 	0.0016178 
1.0167 	0.092494 	0.0032355 
1.0333 	0.094196 	0.0032355 
1.0500 	0.095709 	0.0032355 
1.0667 	0.097412 	0.0032355 
1.0833 	0.099114 	0.0032355 
