Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.0011349 	0.00000 
0.10000 	0.0018915 	-0.0016194 
0.11667 	0.0030264 	0.00000 
0.13333 	0.0041613 	-0.0016194 
0.15000 	0.0054853 	-0.0016194 
0.16667 	0.0075660 	0.00000 
0.18333 	0.0094575 	0.0016178 
0.20000 	0.011160 	0.00000 
0.21667 	0.012862 	0.00000 
0.23333 	0.014564 	0.00000 
0.25000 	0.016267 	0.00000 
0.26667 	0.017780 	0.00000 
0.28333 	0.019293 	0.00000 
0.30000 	0.020806 	-0.0016194 
0.31667 	0.022509 	-0.0016194 
0.33333 	0.024211 	0.00000 
0.35000 	0.025724 	0.00000 
0.36667 	0.027616 	0.00000 
0.38333 	0.029318 	0.00000 
0.40000 	0.031020 	0.00000 
0.41667 	0.032723 	0.00000 
0.43333 	0.034236 	0.00000 
0.45000 	0.035938 	0.00000 
0.46667 	0.037452 	0.0016178 
0.48333 	0.038965 	0.00000 
0.50000 	0.040667 	-0.0016194 
0.51667 	0.042369 	0.00000 
0.53333 	0.044072 	0.00000 
0.55000 	0.045774 	0.00000 
0.56667 	0.047476 	0.0016178 
0.58333 	0.049179 	0.00000 
0.60000 	0.050881 	0.00000 
0.61667 	0.052394 	0.00000 
0.63333 	0.054097 	0.00000 
0.65000 	0.055610 	0.0016178 
0.66667 	0.057312 	0.0016178 
0.68333 	0.059014 	0.00000 
0.70000 	0.060906 	0.00000 
0.71667 	0.062608 	0.0016178 
0.73333 	0.064311 	0.0016178 
0.75000 	0.065824 	0.0016178 
0.76667 	0.067526 	0.0016178 
0.78333 	0.069039 	0.0032355 
0.80000 	0.070742 	0.0016178 
0.81667 	0.072444 	0.0048533 
0.83333 	0.074146 	0.0048533 
0.85000 	0.075849 	0.0032355 
0.86667 	0.077740 	0.0048533 
0.88333 	0.079443 	0.0048533 
0.90000 	0.080956 	0.0048533 
0.91667 	0.082658 	0.0048533 
0.93333 	0.084171 	0.0048533 
0.95000 	0.085685 	0.0048533 
0.96667 	0.087387 	0.0064711 
0.98333 	0.089089 	0.0064711 
1.0000 	0.090792 	0.0064711 
1.0167 	0.092494 	0.0064711 
1.0333 	0.094196 	0.0080889 
1.0500 	0.095709 	0.0080889 
1.0667 	0.097412 	0.0064711 
1.0833 	0.098925 	0.0080889 
1.1000 	0.10063 	0.0097066 
1.1167 	0.10214 	0.0080889 
1.1333 	0.10384 	0.0080889 
1.1500 	0.10555 	0.0080889 
1.1667 	0.10725 	0.0097066 
1.1833 	0.10895 	0.0097066 
1.2000 	0.11065 	0.0097066 
1.2167 	0.11217 	0.0097066 
1.2333 	0.11387 	0.0097066 
1.2500 	0.11538 	0.0097066 
1.2667 	0.11708 	0.0097066 
1.2833 	0.11879 	0.0097066 
1.3000 	0.12049 	0.011324 
1.3167 	0.12219 	0.0097066 
1.3333 	0.12389 	0.011324 
1.3500 	0.12578 	0.011324 
1.3667 	0.12749 	0.0097066 
1.3833 	0.12900 	0.011324 
1.4000 	0.13070 	0.011324 
1.4167 	0.13240 	0.0097066 
1.4333 	0.13392 	0.011324 
1.4500 	0.13562 	0.011324 
1.4667 	0.13732 	0.011324 
1.4833 	0.13902 	0.011324 
1.5000 	0.14073 	0.011324 
1.5167 	0.14243 	0.0097066 
1.5333 	0.14413 	0.011324 
1.5500 	0.14564 	0.011324 
1.5667 	0.14735 	0.011324 
1.5833 	0.14886 	0.0097066 
1.6000 	0.15056 	0.0097066 
1.6167 	0.15226 	0.0097066 
1.6333 	0.15397 	0.0097066 
1.6500 	0.15567 	0.0097066 
1.6667 	0.15737 	0.0097066 
1.6833 	0.15907 	0.0097066 
1.7000 	0.16078 	0.0080889 
1.7167 	0.16229 	0.0080889 
1.7333 	0.16399 	0.0080889 
1.7500 	0.16569 	0.0080889 
1.7667 	0.16721 	0.0097066 
1.7833 	0.16910 	0.0080889 
1.8000 	0.17080 	0.0080889 
1.8167 	0.17250 	0.0097066 
1.8333 	0.17421 	0.0080889 
1.8500 	0.17572 	0.0080889 
1.8667 	0.17742 	0.0097066 
1.8833 	0.17893 	0.0080889 
1.9000 	0.18064 	0.0080889 
1.9167 	0.18234 	0.0097066 
1.9333 	0.18404 	0.0097066 
1.9500 	0.18574 	0.0080889 
1.9667 	0.18745 	0.0080889 
1.9833 	0.18915 	0.0080889 
2.0000 	0.19066 	0.0080889 
2.0167 	0.19236 	0.0097066 
2.0333 	0.19388 	0.0097066 
2.0500 	0.19558 	0.0080889 
2.0667 	0.19728 	0.0080889 
2.0833 	0.19898 	0.0097066 
2.1000 	0.20069 	0.0097066 
2.1167 	0.20239 	0.0080889 
2.1333 	0.20409 	0.0080889 
2.1500 	0.20579 	0.0080889 
2.1667 	0.20731 	0.0080889 
2.1833 	0.20901 	0.0080889 
2.2000 	0.21071 	0.0080889 
2.2167 	0.21223 	0.0097066 
2.2333 	0.21393 	0.0080889 
2.2500 	0.21563 	0.0080889 
2.2667 	0.21733 	0.0080889 
2.2833 	0.21903 	0.0080889 
2.3000 	0.22074 	0.0080889 
2.3167 	0.22244 	0.0080889 
2.3500 	0.22565 	0.0097066 
2.3833 	0.22887 	0.0080889 
2.4000 	0.23057 	0.0080889 
2.4167 	0.23227 	0.0080889 
2.4333 	0.23398 	0.0080889 
2.4500 	0.23568 	0.0080889 
2.4667 	0.23738 	0.0080889 
2.4833 	0.23908 	0.0064711 
2.5000 	0.24079 	0.0080889 
2.5333 	0.24400 	0.0080889 
2.5667 	0.24741 	0.0080889 
2.6000 	0.25081 	0.0080889 
2.6333 	0.25422 	0.0080889 
2.6667 	0.25743 	0.0080889 
2.7000 	0.26065 	0.0064711 
2.7333 	0.26405 	0.0080889 
2.7500 	0.26594 	0.0064711 
2.7833 	0.26916 	0.0064711 
2.8167 	0.27256 	0.0064711 
2.8500 	0.27578 	0.0080889 
2.8833 	0.27918 	0.0080889 
2.9167 	0.28240 	0.0064711 
2.9500 	0.28580 	0.0064711 
2.9833 	0.28902 	0.0064711 
3.0167 	0.29224 	0.0064711 
3.0500 	0.29564 	0.0064711 
3.0833 	0.29904 	0.0048533 
3.1167 	0.30226 	0.0064711 
3.1500 	0.30566 	0.0048533 
3.1833 	0.30888 	0.0064711 
3.2167 	0.31247 	0.0048533 
3.2500 	0.31588 	0.0048533 
3.2833 	0.31909 	0.0048533 
3.3167 	0.32231 	0.0032355 
3.3500 	0.32571 	0.0032355 
3.3833 	0.32912 	0.0032355 
3.4167 	0.33233 	0.0032355 
3.4500 	0.33555 	0.0032355 
3.4833 	0.33877 	0.0032355 
3.5167 	0.34217 	0.0032355 
3.5500 	0.34576 	0.0032355 
3.5833 	0.34898 	0.0032355 
3.6167 	0.35220 	0.0032355 
3.6500 	0.35560 	0.0032355 
3.6833 	0.35900 	0.0032355 
3.7167 	0.36241 	0.0032355 
3.7500 	0.36581 	0.0032355 
3.7833 	0.36903 	0.0032355 
3.8167 	0.37225 	0.0032355 
3.8500 	0.37565 	0.0032355 
3.8833 	0.37905 	0.0032355 
3.9167 	0.38227 	0.0032355 
3.9500 	0.38567 	0.0032355 
3.9833 	0.38889 	0.0032355 
4.0167 	0.39230 	0.0032355 
4.0500 	0.39570 	0.0016178 
4.0833 	0.39892 	0.0032355 
4.1167 	0.40232 	0.0032355 
4.1500 	0.40572 	0.0032355 
4.1833 	0.40913 	0.0032355 
4.2167 	0.41253 	0.0032355 
4.2500 	0.41575 	0.0016178 
4.2833 	0.41915 	0.0032355 
4.3167 	0.42256 	0.0032355 
4.3500 	0.42577 	0.0016178 
4.3833 	0.42899 	0.0016178 
4.4167 	0.43221 	0.0032355 
4.4500 	0.43542 	0.0016178 
4.4833 	0.43883 	0.0016178 
4.5167 	0.44223 	0.0032355 
4.5500 	0.44564 	0.0016178 
4.6000 	0.45055 	0.0032355 
4.6333 	0.45396 	0.0016178 
4.6667 	0.45755 	0.0016178 
4.7167 	0.46247 	0.0016178 
4.7667 	0.46739 	0.0016178 
