Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.00094575 	0.00000 
0.10000 	0.0017023 	0.00000 
0.11667 	0.0026481 	0.00000 
0.13333 	0.0039721 	0.0016178 
0.15000 	0.0054853 	0.0016178 
0.16667 	0.0077551 	0.0032355 
0.18333 	0.0094575 	0.0032355 
0.20000 	0.011160 	0.0048533 
0.21667 	0.012673 	0.0032355 
0.23333 	0.014186 	0.0048533 
0.25000 	0.015699 	0.0064711 
0.26667 	0.017213 	0.0032355 
0.28333 	0.018915 	0.0032355 
0.30000 	0.020617 	0.0032355 
0.31667 	0.022320 	0.0048533 
0.33333 	0.023833 	0.0048533 
0.35000 	0.025535 	0.0032355 
0.36667 	0.027048 	0.0032355 
0.38333 	0.028562 	0.0032355 
0.40000 	0.030264 	0.0032355 
0.41667 	0.031777 	0.0032355 
0.43333 	0.033479 	0.0032355 
0.45000 	0.035182 	0.0048533 
0.46667 	0.036884 	0.0032355 
0.48333 	0.038586 	0.0032355 
0.50000 	0.040289 	0.0032355 
0.51667 	0.041802 	0.0032355 
0.53333 	0.043504 	0.0016178 
0.55000 	0.045017 	0.0032355 
0.56667 	0.046720 	0.0032355 
0.58333 	0.048422 	0.0016178 
0.60000 	0.050314 	0.0032355 
0.61667 	0.052016 	0.0032355 
0.63333 	0.053718 	0.0032355 
0.65000 	0.055421 	0.0032355 
0.66667 	0.057123 	0.0032355 
0.68333 	0.058636 	0.0032355 
0.70000 	0.060339 	0.0016178 
0.71667 	0.061852 	0.0032355 
0.73333 	0.063554 	0.0032355 
0.75000 	0.065256 	0.0032355 
0.76667 	0.066959 	0.0048533 
0.78333 	0.068661 	0.0032355 
0.80000 	0.070363 	0.0032355 
0.81667 	0.072066 	0.0032355 
0.83333 	0.073579 	0.0032355 
0.85000 	0.075281 	0.0048533 
0.86667 	0.076794 	0.0032355 
0.88333 	0.078497 	0.0032355 
0.90000 	0.080010 	0.0048533 
0.91667 	0.081712 	0.0032355 
0.93333 	0.083415 	0.0032355 
0.95000 	0.085117 	0.0032355 
0.96667 	0.086819 	0.0032355 
0.98333 	0.088522 	0.0032355 
1.0000 	0.090035 	0.0032355 
1.0167 	0.091737 	0.0032355 
1.0333 	0.093250 	0.0032355 
1.0500 	0.094953 	0.0032355 
1.0667 	0.096655 	0.0032355 
1.0833 	0.098547 	0.0048533 
1.1000 	0.10025 	0.0032355 
1.1167 	0.10195 	0.0032355 
1.1333 	0.10365 	0.0032355 
1.1500 	0.10536 	0.0032355 
1.1667 	0.10687 	0.0032355 
1.1833 	0.10857 	0.0032355 
1.2000 	0.11008 	0.0032355 
1.2167 	0.11179 	0.0032355 
1.2333 	0.11349 	0.0032355 
1.2500 	0.11519 	0.0032355 
1.2667 	0.11689 	0.0048533 
1.2833 	0.11860 	0.0032355 
1.3000 	0.12030 	0.0032355 
1.3167 	0.12181 	0.0032355 
1.3333 	0.12333 	0.0048533 
1.3500 	0.12503 	0.0048533 
1.3667 	0.12673 	0.0048533 
1.3833 	0.12843 	0.0032355 
1.4000 	0.13013 	0.0048533 
1.4167 	0.13184 	0.0032355 
1.4333 	0.13354 	0.0032355 
1.4500 	0.13524 	0.0048533 
1.4667 	0.13694 	0.0048533 
1.4833 	0.13846 	0.0048533 
1.5000 	0.14016 	0.0048533 
1.5167 	0.14186 	0.0048533 
1.5333 	0.14337 	0.0048533 
1.5500 	0.14527 	0.0048533 
1.5667 	0.14697 	0.0064711 
1.5833 	0.14867 	0.0064711 
1.6000 	0.15037 	0.0064711 
1.6167 	0.15208 	0.0064711 
1.6333 	0.15359 	0.0064711 
1.6500 	0.15529 	0.0080889 
1.6667 	0.15680 	0.0064711 
1.6833 	0.15851 	0.0080889 
1.7000 	0.16021 	0.0080889 
1.7167 	0.16191 	0.0080889 
1.7333 	0.16361 	0.0080889 
1.7500 	0.16532 	0.0097066 
1.7667 	0.16702 	0.0097066 
1.7833 	0.16853 	0.0080889 
1.8000 	0.17004 	0.0097066 
1.8167 	0.17175 	0.0097066 
1.8333 	0.17326 	0.011324 
1.8500 	0.17496 	0.011324 
1.8667 	0.17667 	0.011324 
