Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.0016178 
0.066667 	0.00075660 	0.00000 
0.10000 	0.0020806 	0.00000 
0.11667 	0.0030264 	0.00000 
0.13333 	0.0039721 	0.00000 
0.15000 	0.0051070 	0.00000 
0.16667 	0.0068094 	0.00000 
0.18333 	0.0087009 	0.0016178 
0.20000 	0.010781 	0.00000 
0.21667 	0.013051 	0.00000 
0.23333 	0.014754 	0.00000 
0.25000 	0.016456 	0.00000 
0.26667 	0.018158 	0.0016178 
0.28333 	0.019861 	0.0016178 
0.30000 	0.021563 	0.0016178 
0.31667 	0.023454 	0.00000 
0.33333 	0.025157 	0.00000 
0.35000 	0.026859 	0.00000 
0.36667 	0.028372 	0.00000 
0.38333 	0.029886 	0.00000 
0.40000 	0.031588 	0.00000 
0.41667 	0.033290 	0.00000 
0.43333 	0.034993 	0.00000 
0.45000 	0.036695 	0.00000 
0.46667 	0.038397 	0.00000 
0.48333 	0.040100 	0.00000 
0.50000 	0.041613 	0.00000 
0.51667 	0.043315 	0.00000 
0.53333 	0.044828 	0.00000 
0.55000 	0.046342 	0.00000 
0.56667 	0.048044 	0.00000 
0.58333 	0.049557 	0.00000 
0.60000 	0.051259 	0.00000 
0.61667 	0.053151 	0.0016178 
0.63333 	0.054853 	0.00000 
0.65000 	0.056556 	0.00000 
0.66667 	0.058258 	0.0016178 
0.68333 	0.059771 	-0.0016194 
0.70000 	0.061473 	0.00000 
0.71667 	0.063176 	0.0016178 
0.73333 	0.064689 	0.00000 
0.75000 	0.066391 	-0.0016194 
0.76667 	0.068283 	0.00000 
0.78333 	0.069985 	0.0016178 
0.80000 	0.071687 	0.00000 
0.81667 	0.073390 	0.00000 
0.83333 	0.074903 	0.00000 
0.85000 	0.076605 	0.00000 
0.86667 	0.078119 	0.00000 
0.88333 	0.079821 	0.00000 
0.90000 	0.081523 	0.00000 
0.91667 	0.083226 	0.00000 
0.93333 	0.084928 	0.00000 
0.95000 	0.086630 	0.00000 
0.96667 	0.088333 	0.00000 
0.98333 	0.089846 	0.00000 
1.0000 	0.091548 	0.00000 
1.0167 	0.093061 	0.00000 
1.0333 	0.094575 	0.00000 
1.0500 	0.096277 	0.0016178 
1.0667 	0.097979 	0.00000 
1.0833 	0.099682 	0.00000 
1.1000 	0.10138 	0.00000 
1.1167 	0.10309 	0.00000 
1.1333 	0.10498 	0.00000 
1.1500 	0.10649 	0.00000 
1.1667 	0.10800 	0.00000 
1.1833 	0.10971 	0.00000 
1.2000 	0.11122 	0.00000 
1.2167 	0.11292 	0.00000 
1.2333 	0.11462 	0.00000 
1.2500 	0.11652 	0.00000 
1.2667 	0.11822 	0.00000 
1.2833 	0.11992 	0.00000 
1.3000 	0.12162 	0.0016178 
1.3167 	0.12314 	0.0016178 
1.3333 	0.12484 	0.00000 
1.3500 	0.12635 	0.00000 
1.3667 	0.12805 	0.0016178 
1.3833 	0.12976 	0.00000 
1.4000 	0.13146 	0.00000 
1.4167 	0.13335 	0.00000 
1.4333 	0.13505 	0.00000 
1.4500 	0.13657 	0.00000 
1.4667 	0.13827 	0.0016178 
1.4833 	0.13978 	0.0016178 
1.5000 	0.14129 	0.00000 
1.5167 	0.14300 	0.0016178 
1.5333 	0.14470 	0.0016178 
1.5500 	0.14640 	0.0016178 
1.5667 	0.14810 	0.0016178 
1.5833 	0.14981 	0.0016178 
1.6000 	0.15151 	0.0016178 
1.6167 	0.15302 	0.0016178 
1.6333 	0.15472 	0.0016178 
1.6500 	0.15624 	0.0016178 
1.6667 	0.15775 	0.0016178 
1.6833 	0.15945 	0.0016178 
1.7000 	0.16134 	0.0032355 
1.7167 	0.16305 	0.0032355 
1.7333 	0.16494 	0.0016178 
1.7500 	0.16664 	0.0016178 
1.7667 	0.16815 	0.0016178 
1.7833 	0.16986 	0.0032355 
1.8000 	0.17156 	0.0016178 
1.8167 	0.17307 	0.0016178 
1.8333 	0.17477 	0.0032355 
1.8500 	0.17648 	0.0032355 
1.8667 	0.17818 	0.0032355 
1.8833 	0.17988 	0.0032355 
1.9000 	0.18158 	0.0032355 
1.9167 	0.18329 	0.0048533 
1.9333 	0.18480 	0.0048533 
1.9500 	0.18650 	0.0048533 
1.9667 	0.18801 	0.0048533 
1.9833 	0.18972 	0.0064711 
2.0000 	0.19123 	0.0064711 
2.0167 	0.19293 	0.0064711 
2.0333 	0.19463 	0.0080889 
2.0500 	0.19634 	0.0064711 
2.0667 	0.19804 	0.0097066 
2.0833 	0.19974 	0.011324 
2.1000 	0.20125 	0.0097066 
2.1167 	0.20296 	0.011324 
2.1333 	0.20466 	0.012942 
2.1500 	0.20617 	0.014560 
2.1667 	0.20787 	0.014560 
2.1833 	0.20977 	0.017796 
2.2000 	0.21147 	0.017796 
2.2167 	0.21317 	0.019413 
2.2333 	0.21487 	0.021031 
2.2500 	0.21658 	0.021031 
2.2667 	0.21809 	0.022649 
2.3000 	0.22130 	0.024267 
2.3167 	0.22301 	0.025884 
2.3333 	0.22471 	0.027502 
2.3500 	0.22641 	0.027502 
2.3667 	0.22811 	0.029120 
2.3833 	0.22982 	0.030738 
2.4167 	0.23303 	0.032355 
2.4500 	0.23625 	0.033973 
2.4667 	0.23795 	0.035591 
2.4833 	0.23965 	0.035591 
2.5000 	0.24135 	0.035591 
2.5167 	0.24306 	0.037209 
2.5500 	0.24646 	0.040444 
2.5833 	0.24968 	0.042062 
2.6167 	0.25308 	0.043680 
2.6500 	0.25649 	0.046915 
2.6833 	0.25989 	0.046915 
2.7167 	0.26330 	0.050151 
2.7500 	0.26651 	0.051769 
2.7833 	0.26973 	0.053387 
2.8167 	0.27294 	0.055004 
2.8500 	0.27635 	0.056622 
2.8833 	0.27956 	0.059858 
2.9167 	0.28278 	0.059858 
2.9500 	0.28618 	0.063093 
2.9833 	0.28959 	0.063093 
