Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00018915 	-0.0016194 
0.083333 	0.0015132 	-0.0016194 
0.10000 	0.0022698 	0.00000 
0.11667 	0.0034047 	0.00000 
0.13333 	0.0043504 	0.00000 
0.15000 	0.0054853 	0.00000 
0.16667 	0.0069985 	0.00000 
0.18333 	0.0085117 	0.00000 
0.20000 	0.010214 	0.00000 
0.21667 	0.011916 	0.00000 
0.23333 	0.013619 	0.00000 
0.25000 	0.015132 	0.00000 
0.26667 	0.017023 	0.00000 
0.28333 	0.019482 	0.0016178 
0.30000 	0.021563 	0.00000 
0.31667 	0.023454 	0.00000 
0.33333 	0.025157 	0.00000 
0.35000 	0.026859 	0.00000 
0.36667 	0.028372 	0.00000 
0.38333 	0.029886 	0.00000 
0.40000 	0.031399 	0.00000 
0.41667 	0.033101 	-0.0016194 
0.43333 	0.034803 	0.00000 
0.45000 	0.036506 	0.00000 
0.46667 	0.038208 	0.00000 
0.48333 	0.040100 	0.00000 
0.50000 	0.041613 	0.00000 
0.51667 	0.043315 	0.00000 
0.53333 	0.044828 	0.00000 
0.55000 	0.046531 	0.00000 
0.56667 	0.048233 	0.00000 
0.58333 	0.049935 	0.00000 
0.60000 	0.051638 	0.00000 
0.61667 	0.053340 	0.00000 
0.63333 	0.055042 	0.00000 
0.65000 	0.056745 	0.00000 
0.66667 	0.058447 	0.00000 
0.68333 	0.059960 	0.0016178 
0.70000 	0.061473 	0.00000 
0.71667 	0.063176 	0.00000 
0.73333 	0.064878 	0.00000 
0.75000 	0.066391 	0.00000 
0.76667 	0.068094 	0.00000 
0.78333 	0.069796 	0.0016178 
0.80000 	0.071498 	0.00000 
0.81667 	0.073201 	0.00000 
0.83333 	0.074714 	0.00000 
0.85000 	0.076416 	0.0016178 
0.86667 	0.077929 	0.00000 
0.88333 	0.079443 	0.00000 
0.90000 	0.081145 	0.00000 
0.91667 	0.082847 	0.00000 
0.93333 	0.084739 	0.00000 
0.95000 	0.086441 	0.00000 
0.96667 	0.088143 	0.00000 
0.98333 	0.089657 	0.00000 
1.0000 	0.091359 	0.0016178 
1.0167 	0.092872 	0.00000 
1.0333 	0.094575 	0.00000 
1.0500 	0.096277 	0.0016178 
1.0667 	0.097979 	0.00000 
1.0833 	0.099682 	0.00000 
1.1000 	0.10138 	0.0016178 
1.1167 	0.10309 	0.0016178 
1.1333 	0.10479 	0.00000 
1.1500 	0.10649 	0.0016178 
1.1667 	0.10800 	0.0032355 
1.1833 	0.10952 	0.0048533 
1.2000 	0.11122 	0.0080889 
1.2167 	0.11292 	0.0080889 
1.2333 	0.11462 	0.011324 
1.2500 	0.11633 	0.012942 
1.2667 	0.11803 	0.014560 
1.2833 	0.11973 	0.017796 
1.3000 	0.12124 	0.019413 
1.3167 	0.12295 	0.021031 
1.3333 	0.12446 	0.024267 
1.3500 	0.12597 	0.027502 
1.3667 	0.12768 	0.029120 
1.3833 	0.12938 	0.030738 
1.4000 	0.13108 	0.033973 
1.4167 	0.13297 	0.035591 
1.4333 	0.13467 	0.037209 
1.4500 	0.13638 	0.040444 
1.4667 	0.13789 	0.043680 
1.4833 	0.13959 	0.045298 
1.5000 	0.14111 	0.046915 
1.5167 	0.14281 	0.048533 
1.5333 	0.14451 	0.051769 
1.5500 	0.14621 	0.055004 
1.5667 	0.14810 	0.056622 
1.5833 	0.14981 	0.058240 
1.6000 	0.15151 	0.061475 
1.6167 	0.15302 	0.063093 
1.6333 	0.15472 	0.066329 
1.6500 	0.15643 	0.067946 
1.6667 	0.15794 	0.069564 
1.6833 	0.15964 	0.072800 
1.7000 	0.16134 	0.074418 
1.7167 	0.16305 	0.076035 
