Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.083333 	0.0011349 	0.00000 
0.10000 	0.0020806 	0.00000 
0.11667 	0.0030264 	0.00000 
0.13333 	0.0039721 	0.00000 
0.15000 	0.0051070 	0.00000 
0.16667 	0.0066202 	0.0016178 
0.18333 	0.0083226 	0.00000 
0.20000 	0.010214 	0.00000 
0.21667 	0.012484 	0.0016178 
0.23333 	0.014186 	0.0016178 
0.25000 	0.016078 	0.0016178 
0.26667 	0.017969 	0.0016178 
0.28333 	0.019671 	0.0016178 
0.30000 	0.021374 	0.0016178 
0.31667 	0.023076 	0.00000 
0.33333 	0.024779 	0.0016178 
0.35000 	0.026292 	0.0016178 
0.36667 	0.027805 	0.0016178 
0.38333 	0.029318 	0.0016178 
0.40000 	0.031020 	0.0016178 
0.41667 	0.032723 	0.00000 
0.43333 	0.034425 	0.00000 
0.45000 	0.036127 	0.00000 
0.46667 	0.037830 	0.0016178 
0.48333 	0.039532 	0.0016178 
0.50000 	0.041045 	0.0016178 
0.51667 	0.042748 	0.0016178 
0.53333 	0.044261 	0.0016178 
0.55000 	0.045963 	0.00000 
0.56667 	0.047666 	0.00000 
0.58333 	0.049368 	0.0016178 
0.60000 	0.051259 	0.0016178 
0.61667 	0.052962 	0.0016178 
0.63333 	0.054664 	0.0016178 
0.65000 	0.056366 	0.0016178 
0.66667 	0.057880 	0.0016178 
0.68333 	0.059393 	0.0016178 
0.70000 	0.061095 	0.0016178 
0.71667 	0.062608 	0.0016178 
0.73333 	0.064311 	0.0016178 
0.75000 	0.066013 	0.0016178 
0.76667 	0.067904 	0.0016178 
0.78333 	0.069418 	0.0016178 
0.80000 	0.071120 	0.0016178 
0.81667 	0.072822 	0.0016178 
0.83333 	0.074336 	0.00000 
0.85000 	0.075849 	0.0016178 
0.86667 	0.077551 	0.0016178 
0.88333 	0.079253 	0.0016178 
0.90000 	0.080956 	0.0016178 
0.91667 	0.082658 	0.0016178 
0.93333 	0.084360 	0.0016178 
0.95000 	0.086063 	0.0016178 
0.96667 	0.087765 	0.0016178 
0.98333 	0.089278 	0.0016178 
1.0000 	0.090981 	0.0016178 
1.0167 	0.092494 	0.0016178 
1.0333 	0.094196 	0.0016178 
1.0500 	0.095899 	0.0016178 
1.0667 	0.097601 	0.00000 
1.0833 	0.099303 	0.0016178 
1.1000 	0.10101 	0.0032355 
1.1167 	0.10271 	0.0016178 
1.1333 	0.10441 	0.0016178 
1.1500 	0.10592 	0.0016178 
1.1667 	0.10763 	0.0016178 
1.1833 	0.10933 	0.0016178 
1.2000 	0.11103 	0.0016178 
1.2167 	0.11273 	0.0016178 
1.2333 	0.11462 	0.0016178 
1.2500 	0.11633 	0.0032355 
1.2667 	0.11784 	0.0016178 
1.2833 	0.11954 	0.0016178 
1.3000 	0.12106 	0.0016178 
1.3167 	0.12276 	0.0016178 
1.3333 	0.12427 	0.0032355 
1.3500 	0.12597 	0.0016178 
1.3667 	0.12768 	0.0016178 
1.3833 	0.12938 	0.0016178 
1.4000 	0.13108 	0.0032355 
1.4167 	0.13278 	0.0048533 
1.4333 	0.13448 	0.0032355 
1.4500 	0.13600 	0.0032355 
1.4667 	0.13770 	0.0032355 
1.4833 	0.13921 	0.0032355 
1.5000 	0.14092 	0.0032355 
1.5167 	0.14262 	0.0048533 
1.5333 	0.14432 	0.0048533 
1.5500 	0.14602 	0.0048533 
1.5667 	0.14773 	0.0048533 
1.5833 	0.14943 	0.0048533 
1.6000 	0.15113 	0.0048533 
1.6167 	0.15264 	0.0048533 
1.6333 	0.15435 	0.0048533 
1.6500 	0.15605 	0.0048533 
1.6667 	0.15756 	0.0064711 
1.6833 	0.15926 	0.0064711 
1.7000 	0.16097 	0.0080889 
1.7167 	0.16267 	0.0080889 
1.7333 	0.16437 	0.0097066 
1.7500 	0.16607 	0.0097066 
1.7667 	0.16759 	0.011324 
1.7833 	0.16929 	0.012942 
1.8000 	0.17080 	0.014560 
1.8167 	0.17250 	0.014560 
1.8333 	0.17402 	0.016178 
1.8500 	0.17591 	0.017796 
1.8667 	0.17761 	0.021031 
1.8833 	0.17931 	0.021031 
1.9000 	0.18102 	0.022649 
1.9167 	0.18253 	0.024267 
1.9333 	0.18423 	0.027502 
1.9500 	0.18574 	0.029120 
1.9667 	0.18745 	0.030738 
1.9833 	0.18915 	0.032355 
2.0000 	0.19085 	0.032355 
2.0167 	0.19255 	0.033973 
2.0333 	0.19426 	0.037209 
2.0500 	0.19615 	0.038827 
2.0667 	0.19766 	0.042062 
2.0833 	0.19936 	0.043680 
2.1000 	0.20088 	0.043680 
2.1167 	0.20258 	0.045298 
2.1333 	0.20428 	0.046915 
2.1500 	0.20598 	0.048533 
2.1667 	0.20769 	0.050151 
2.1833 	0.20939 	0.051769 
2.2000 	0.21109 	0.053387 
2.2167 	0.21279 	0.053387 
2.2333 	0.21449 	0.056622 
2.2500 	0.21601 	0.059858 
2.2667 	0.21752 	0.061475 
2.2833 	0.21922 	0.061475 
2.3000 	0.22093 	0.064711 
2.3167 	0.22263 	0.066329 
2.3333 	0.22433 	0.067946 
2.3500 	0.22603 	0.069564 
2.3667 	0.22774 	0.071182 
2.3833 	0.22944 	0.072800 
2.4167 	0.23265 	0.077653 
2.4500 	0.23587 	0.080889 
2.4667 	0.23757 	0.082506 
2.4833 	0.23927 	0.084124 
2.5000 	0.24098 	0.087360 
2.5167 	0.24268 	0.088978 
2.5500 	0.24608 	0.092213 
2.5833 	0.24930 	0.095449 
2.6167 	0.25270 	0.097066 
2.6500 	0.25611 	0.10030 
2.6833 	0.25932 	0.10192 
2.7167 	0.26254 	0.10677 
2.7500 	0.26575 	0.11163 
2.7833 	0.26916 	0.11324 
2.8167 	0.27256 	0.11648 
2.8500 	0.27597 	0.11972 
2.8833 	0.27918 	0.12295 
2.9167 	0.28240 	0.12457 
2.9500 	0.28580 	0.12780 
2.9833 	0.28940 	0.13104 
3.0167 	0.29261 	0.13589 
3.0500 	0.29583 	0.13751 
3.0833 	0.29923 	0.14075 
3.1167 	0.30264 	0.14398 
3.1500 	0.30604 	0.14560 
3.1833 	0.30945 	0.14884 
3.2167 	0.31266 	0.15207 
