Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.00075660 	0.00000 
0.11667 	0.0022698 	0.00000 
0.13333 	0.0032155 	0.00000 
0.15000 	0.0041613 	0.00000 
0.16667 	0.0054853 	0.00000 
0.18333 	0.0069985 	0.00000 
0.20000 	0.0087009 	0.00000 
0.21667 	0.010781 	0.0016178 
0.23333 	0.013051 	0.00000 
0.25000 	0.014943 	0.00000 
0.26667 	0.016834 	0.00000 
0.28333 	0.018537 	0.00000 
0.30000 	0.020239 	0.0016178 
0.31667 	0.021752 	0.0016178 
0.33333 	0.023454 	0.00000 
0.35000 	0.024968 	0.0016178 
0.36667 	0.026481 	0.00000 
0.38333 	0.027994 	0.00000 
0.40000 	0.029696 	0.00000 
0.41667 	0.031399 	0.0016178 
0.43333 	0.033290 	0.0016178 
0.45000 	0.034993 	0.0016178 
0.46667 	0.036506 	0.0016178 
0.48333 	0.038208 	0.00000 
0.50000 	0.039721 	0.0016178 
0.51667 	0.041424 	0.00000 
0.53333 	0.042937 	0.00000 
0.55000 	0.044639 	0.0016178 
0.56667 	0.046531 	0.0016178 
0.58333 	0.048233 	0.0016178 
0.60000 	0.049935 	0.0016178 
0.61667 	0.051638 	0.00000 
0.63333 	0.053340 	0.00000 
0.65000 	0.054853 	0.00000 
0.66667 	0.056556 	0.0016178 
0.68333 	0.058069 	0.0016178 
0.70000 	0.059771 	0.0016178 
0.71667 	0.061473 	0.00000 
0.73333 	0.063176 	0.00000 
0.75000 	0.065067 	0.0016178 
0.76667 	0.066770 	0.00000 
0.78333 	0.068283 	0.0016178 
0.80000 	0.069985 	0.0016178 
0.81667 	0.071498 	0.00000 
0.83333 	0.073201 	0.0016178 
0.85000 	0.074714 	0.0016178 
0.86667 	0.076416 	0.00000 
0.88333 	0.078119 	0.00000 
0.90000 	0.079821 	0.00000 
0.91667 	0.081523 	0.0016178 
0.93333 	0.083226 	0.0016178 
0.95000 	0.084928 	0.0016178 
0.96667 	0.086441 	0.0016178 
0.98333 	0.087954 	0.0016178 
1.0000 	0.089657 	0.0016178 
1.0167 	0.091359 	0.0016178 
1.0333 	0.093061 	0.0016178 
1.0500 	0.094764 	0.00000 
1.0667 	0.096466 	0.0016178 
1.0833 	0.098168 	0.0016178 
1.1000 	0.099871 	0.0016178 
1.1167 	0.10138 	0.0032355 
1.1333 	0.10309 	0.00000 
1.1500 	0.10460 	0.00000 
1.1667 	0.10630 	0.0016178 
1.1833 	0.10800 	0.0016178 
1.2000 	0.10971 	0.00000 
1.2167 	0.11160 	0.0016178 
1.2333 	0.11330 	0.00000 
1.2500 	0.11500 	0.00000 
1.2667 	0.11652 	0.00000 
1.2833 	0.11822 	0.0016178 
1.3000 	0.11973 	0.0016178 
1.3167 	0.12124 	0.0016178 
1.3333 	0.12295 	0.00000 
1.3500 	0.12465 	0.0016178 
1.3667 	0.12635 	0.0016178 
1.3833 	0.12805 	0.00000 
1.4000 	0.12976 	0.0016178 
1.4167 	0.13146 	0.0016178 
1.4333 	0.13316 	0.0032355 
1.4500 	0.13467 	0.0016178 
1.4667 	0.13619 	0.0016178 
