Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.083333 	0.0013240 	-0.0016194 
0.10000 	0.0020806 	-0.0032388 
0.11667 	0.0032155 	-0.0016194 
0.13333 	0.0041613 	-0.0016194 
0.15000 	0.0052962 	-0.0016194 
0.16667 	0.0066202 	-0.0016194 
0.18333 	0.0085117 	-0.0016194 
0.20000 	0.010214 	0.00000 
0.21667 	0.012295 	0.00000 
0.23333 	0.014375 	0.00000 
0.25000 	0.016078 	0.00000 
0.26667 	0.017780 	0.0016178 
0.28333 	0.019482 	0.0016178 
0.30000 	0.021374 	0.00000 
0.31667 	0.023076 	0.00000 
0.33333 	0.024589 	0.00000 
0.35000 	0.026292 	0.00000 
0.36667 	0.027805 	0.0016178 
0.38333 	0.029318 	0.0016178 
0.40000 	0.031020 	0.00000 
0.41667 	0.032534 	0.0016178 
0.43333 	0.034236 	0.0032355 
0.45000 	0.035938 	0.0016178 
0.46667 	0.037830 	0.00000 
0.48333 	0.039532 	0.00000 
0.50000 	0.041234 	0.0016178 
0.51667 	0.042748 	0.0016178 
0.53333 	0.044450 	0.0016178 
0.55000 	0.045963 	0.00000 
0.56667 	0.047666 	0.0016178 
0.58333 	0.049368 	0.0016178 
0.60000 	0.051070 	0.0016178 
0.61667 	0.052962 	0.0016178 
0.63333 	0.054475 	0.0016178 
0.65000 	0.056177 	0.00000 
0.66667 	0.057880 	0.00000 
0.68333 	0.059393 	0.00000 
0.70000 	0.061095 	0.00000 
0.71667 	0.062608 	0.0016178 
0.73333 	0.064311 	0.00000 
0.75000 	0.066013 	0.00000 
0.76667 	0.067715 	0.00000 
0.78333 	0.069418 	0.0016178 
0.80000 	0.071120 	0.0016178 
0.81667 	0.072633 	0.0016178 
0.83333 	0.074336 	0.0016178 
0.85000 	0.075849 	0.0016178 
0.86667 	0.077551 	0.0016178 
0.88333 	0.079064 	0.00000 
0.90000 	0.080767 	0.00000 
0.91667 	0.082469 	0.0016178 
0.93333 	0.084171 	0.00000 
0.95000 	0.085874 	0.00000 
0.96667 	0.087576 	0.0016178 
0.98333 	0.089278 	0.0016178 
1.0000 	0.090792 	0.00000 
