Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.0048533 
0.083333 	0.0011349 	0.0048533 
0.10000 	0.0018915 	0.0064711 
0.11667 	0.0032155 	0.0064711 
0.13333 	0.0045396 	0.0064711 
0.15000 	0.0060528 	0.0080889 
0.16667 	0.0081334 	0.0097066 
0.18333 	0.010025 	0.012942 
0.20000 	0.011538 	0.014560 
0.21667 	0.013051 	0.017796 
0.23333 	0.014564 	0.021031 
0.25000 	0.016267 	0.024267 
0.26667 	0.017969 	0.025884 
0.28333 	0.019671 	0.030738 
0.30000 	0.021374 	0.035591 
0.31667 	0.022887 	0.038827 
0.33333 	0.024589 	0.040444 
0.35000 	0.026103 	0.043680 
0.36667 	0.027616 	0.045298 
0.38333 	0.029318 	0.048533 
0.40000 	0.031020 	0.051769 
0.41667 	0.032534 	0.053387 
0.43333 	0.034425 	0.055004 
0.45000 	0.036127 	0.058240 
0.46667 	0.037830 	0.059858 
0.48333 	0.039532 	0.061475 
0.50000 	0.041045 	0.064711 
0.51667 	0.042748 	0.066329 
0.53333 	0.044450 	0.067946 
0.55000 	0.045963 	0.069564 
0.56667 	0.047666 	0.071182 
0.58333 	0.049368 	0.072800 
0.60000 	0.051070 	0.072800 
0.61667 	0.052773 	0.074418 
0.63333 	0.054475 	0.074418 
0.65000 	0.056177 	0.076035 
0.66667 	0.057690 	0.076035 
0.68333 	0.059393 	0.077653 
0.70000 	0.060906 	0.077653 
0.71667 	0.062608 	0.080889 
0.73333 	0.064311 	0.080889 
0.75000 	0.066013 	0.082506 
0.76667 	0.067715 	0.084124 
0.78333 	0.069418 	0.085742 
0.80000 	0.071120 	0.085742 
0.81667 	0.072633 	0.087360 
0.83333 	0.074336 	0.088978 
0.85000 	0.075849 	0.088978 
0.86667 	0.077551 	0.088978 
0.88333 	0.079253 	0.092213 
0.90000 	0.080956 	0.093831 
0.91667 	0.082658 	0.092213 
0.93333 	0.084360 	0.093831 
0.95000 	0.086063 	0.095449 
0.96667 	0.087765 	0.097066 
0.98333 	0.089467 	0.097066 
1.0000 	0.090981 	0.098684 
1.0167 	0.092683 	0.10030 
1.0333 	0.094196 	0.10192 
1.0500 	0.095899 	0.10192 
1.0667 	0.097601 	0.10354 
1.0833 	0.099303 	0.10516 
1.1000 	0.10101 	0.10516 
1.1167 	0.10271 	0.10677 
1.1333 	0.10422 	0.10839 
1.1500 	0.10573 	0.10839 
1.1667 	0.10744 	0.10839 
1.1833 	0.10895 	0.11001 
1.2000 	0.11065 	0.11163 
1.2167 	0.11254 	0.11324 
1.2333 	0.11425 	0.11324 
1.2500 	0.11595 	0.11486 
1.2667 	0.11765 	0.11648 
1.2833 	0.11935 	0.11648 
1.3000 	0.12087 	0.11810 
1.3167 	0.12238 	0.11972 
1.3333 	0.12408 	0.11972 
1.3500 	0.12578 	0.12133 
1.3667 	0.12749 	0.12295 
1.3833 	0.12919 	0.12457 
1.4000 	0.13108 	0.12619 
1.4167 	0.13278 	0.12619 
1.4333 	0.13448 	0.12780 
1.4500 	0.13619 	0.12942 
1.4667 	0.13770 	0.12942 
1.4833 	0.13940 	0.13104 
1.5000 	0.14092 	0.13266 
1.5167 	0.14262 	0.13266 
1.5333 	0.14432 	0.13428 
1.5500 	0.14621 	0.13589 
1.5667 	0.14773 	0.13589 
1.5833 	0.14943 	0.13751 
1.6000 	0.15113 	0.13913 
1.6167 	0.15264 	0.14075 
1.6333 	0.15435 	0.14075 
1.6500 	0.15586 	0.14236 
1.6667 	0.15756 	0.14236 
1.6833 	0.15926 	0.14398 
1.7000 	0.16097 	0.14560 
1.7167 	0.16267 	0.14722 
1.7333 	0.16437 	0.14884 
1.7500 	0.16607 	0.14884 
1.7667 	0.16759 	0.14884 
1.7833 	0.16910 	0.15207 
1.8000 	0.17080 	0.15207 
1.8167 	0.17250 	0.15369 
1.8333 	0.17402 	0.15369 
1.8500 	0.17591 	0.15531 
1.8667 	0.17761 	0.15692 
1.8833 	0.17931 	0.15854 
1.9000 	0.18102 	0.15854 
1.9167 	0.18272 	0.16016 
1.9333 	0.18423 	0.16178 
1.9500 	0.18593 	0.16178 
1.9667 	0.18745 	0.16340 
1.9833 	0.18915 	0.16340 
2.0000 	0.19104 	0.16501 
2.0167 	0.19274 	0.16501 
2.0333 	0.19445 	0.16825 
2.0500 	0.19615 	0.16825 
2.0667 	0.19766 	0.16987 
2.0833 	0.19936 	0.17148 
2.1000 	0.20088 	0.17148 
2.1167 	0.20258 	0.17148 
2.1333 	0.20409 	0.17310 
2.1500 	0.20579 	0.17472 
2.1667 	0.20750 	0.17472 
2.1833 	0.20920 	0.17634 
2.2000 	0.21090 	0.17796 
2.2167 	0.21260 	0.17796 
2.2333 	0.21431 	0.17957 
2.2500 	0.21582 	0.18119 
2.2667 	0.21752 	0.18119 
2.2833 	0.21903 	0.18119 
2.3000 	0.22074 	0.18281 
2.3167 	0.22244 	0.18443 
2.3333 	0.22433 	0.18604 
2.3500 	0.22603 	0.18604 
2.3667 	0.22774 	0.18766 
2.3833 	0.22944 	0.18928 
2.4167 	0.23265 	0.18928 
2.4500 	0.23587 	0.19252 
2.4667 	0.23757 	0.19252 
2.4833 	0.23927 	0.19413 
2.5000 	0.24098 	0.19575 
2.5167 	0.24268 	0.19575 
2.5500 	0.24608 	0.19737 
2.5833 	0.24930 	0.19899 
2.6167 	0.25251 	0.20222 
2.6500 	0.25592 	0.20384 
2.6833 	0.25932 	0.20384 
2.7167 	0.26254 	0.20707 
2.7500 	0.26594 	0.20707 
2.7833 	0.26916 	0.21031 
2.8167 	0.27275 	0.21193 
2.8500 	0.27597 	0.21355 
2.8833 	0.27937 	0.21516 
2.9167 	0.28259 	0.21678 
2.9500 	0.28599 	0.21840 
2.9833 	0.28940 	0.22002 
3.0167 	0.29261 	0.22325 
3.0500 	0.29583 	0.22487 
3.0833 	0.29904 	0.22325 
3.1167 	0.30245 	0.22649 
3.1500 	0.30585 	0.22811 
3.1833 	0.30926 	0.22972 
3.2167 	0.31247 	0.23134 
3.2500 	0.31588 	0.23296 
3.2833 	0.31947 	0.23458 
3.3167 	0.32307 	0.23619 
3.3500 	0.32628 	0.23943 
3.3833 	0.32950 	0.24105 
3.4167 	0.33290 	0.24105 
3.4500 	0.33631 	0.24428 
3.4833 	0.33952 	0.24428 
3.5167 	0.34274 	0.24590 
3.5500 	0.34595 	0.24752 
3.5833 	0.34917 	0.24752 
3.6167 	0.35257 	0.24914 
3.6500 	0.35579 	0.25075 
3.6833 	0.35882 	0.25075 
3.7167 	0.36222 	0.25075 
3.7500 	0.36563 	0.25237 
3.7833 	0.36903 	0.25399 
3.8167 	0.37225 	0.25399 
3.8500 	0.37565 	0.25723 
3.8833 	0.37887 	0.25723 
3.9167 	0.38246 	0.25723 
3.9500 	0.38586 	0.25884 
3.9833 	0.38908 	0.25884 
4.0167 	0.39230 	0.26046 
4.0500 	0.39570 	0.26208 
4.0833 	0.39929 	0.26208 
4.1167 	0.40270 	0.26370 
4.1500 	0.40591 	0.26531 
4.1833 	0.40913 	0.26370 
4.2167 	0.41272 	0.26693 
4.2500 	0.41613 	0.26693 
4.2833 	0.41953 	0.26855 
4.3167 	0.42275 	0.26855 
4.3500 	0.42596 	0.26855 
4.3833 	0.42937 	0.27017 
4.4167 	0.43277 	0.27017 
4.4500 	0.43599 	0.27179 
4.5000 	0.44072 	0.27179 
4.5333 	0.44431 	0.27179 
4.5667 	0.44772 	0.27340 
4.6167 	0.45244 	0.27340 
4.6500 	0.45585 	0.27502 
4.7000 	0.46096 	0.27502 
4.7500 	0.46606 	0.27664 
4.8000 	0.47098 	0.27826 
4.8500 	0.47609 	0.27826 
4.9000 	0.48101 	0.27826 
4.9500 	0.48573 	0.27987 
5.0000 	0.49084 	0.27826 
5.0500 	0.49595 	0.27987 
5.1000 	0.50087 	0.27987 
5.1500 	0.50597 	0.28149 
5.2000 	0.51108 	0.28149 
5.2500 	0.51600 	0.28149 
5.3000 	0.52092 	0.28311 
5.3500 	0.52602 	0.28311 
5.4000 	0.53094 	0.28311 
5.4500 	0.53567 	0.28311 
5.5000 	0.54097 	0.28311 
5.5500 	0.54588 	0.28311 
5.6000 	0.55080 	0.28311 
5.6500 	0.55610 	0.28473 
5.7000 	0.56102 	0.28473 
5.7500 	0.56593 	0.28311 
5.8000 	0.57104 	0.16501 
5.8167 	0.57255 	-0.058299 
