Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.0016178 
0.10000 	0.00094575 	0.0016178 
0.11667 	0.0022698 	0.00000 
0.13333 	0.0041613 	0.0016178 
0.15000 	0.0056745 	0.0016178 
0.16667 	0.0069985 	0.0016178 
0.18333 	0.0081334 	0.0016178 
0.20000 	0.0092683 	0.0016178 
0.21667 	0.010592 	0.0016178 
0.23333 	0.012295 	0.0016178 
0.25000 	0.013808 	0.0032355 
0.26667 	0.015510 	0.0032355 
0.28333 	0.017213 	0.0048533 
0.30000 	0.018915 	0.0064711 
0.31667 	0.020617 	0.0080889 
0.33333 	0.022320 	0.0080889 
0.35000 	0.024211 	0.0097066 
0.36667 	0.026292 	0.012942 
0.38333 	0.027994 	0.012942 
0.40000 	0.029886 	0.014560 
0.41667 	0.031588 	0.016178 
0.43333 	0.033290 	0.019413 
0.45000 	0.034993 	0.021031 
0.46667 	0.036695 	0.021031 
0.48333 	0.038208 	0.022649 
0.50000 	0.039721 	0.022649 
0.51667 	0.041424 	0.024267 
0.53333 	0.042937 	0.024267 
0.55000 	0.044639 	0.022649 
0.56667 	0.046342 	0.024267 
0.58333 	0.048233 	0.025884 
0.60000 	0.049935 	0.025884 
0.61667 	0.051449 	0.027502 
0.63333 	0.053151 	0.027502 
0.65000 	0.054853 	0.027502 
0.66667 	0.056366 	0.027502 
0.68333 	0.058069 	0.029120 
0.70000 	0.059771 	0.029120 
0.71667 	0.061473 	0.027502 
0.73333 	0.063176 	0.029120 
0.75000 	0.064878 	0.027502 
0.76667 	0.066580 	0.025884 
0.78333 	0.068283 	0.025884 
0.80000 	0.069985 	0.027502 
0.81667 	0.071498 	0.027502 
0.83333 	0.073012 	0.027502 
0.85000 	0.074714 	0.027502 
0.86667 	0.076416 	0.027502 
0.88333 	0.078119 	0.027502 
0.90000 	0.079821 	0.027502 
0.91667 	0.081523 	0.025884 
0.93333 	0.083226 	0.024267 
0.95000 	0.084739 	0.024267 
0.96667 	0.086441 	0.024267 
0.98333 	0.087954 	0.024267 
1.0000 	0.089657 	0.025884 
1.0167 	0.091359 	0.025884 
1.0333 	0.092872 	0.027502 
1.0500 	0.094575 	0.025884 
1.0667 	0.096466 	0.025884 
1.0833 	0.098168 	0.027502 
1.1000 	0.099682 	0.027502 
1.1167 	0.10138 	0.027502 
1.1333 	0.10290 	0.025884 
1.1500 	0.10460 	0.027502 
1.1667 	0.10630 	0.027502 
1.1833 	0.10800 	0.027502 
1.2000 	0.10971 	0.027502 
1.2167 	0.11160 	0.025884 
1.2333 	0.11330 	0.024267 
1.2500 	0.11500 	0.025884 
1.2667 	0.11652 	0.025884 
1.2833 	0.11822 	0.027502 
1.3000 	0.11973 	0.027502 
1.3167 	0.12143 	0.027502 
1.3333 	0.12314 	0.029120 
1.3500 	0.12465 	0.027502 
1.3667 	0.12654 	0.027502 
1.3833 	0.12824 	0.027502 
1.4000 	0.12976 	0.027502 
1.4167 	0.13146 	0.025884 
1.4333 	0.13297 	0.025884 
1.4500 	0.13448 	0.025884 
1.4667 	0.13619 	0.025884 
1.4833 	0.13789 	0.027502 
1.5000 	0.13959 	0.029120 
1.5167 	0.14129 	0.029120 
1.5333 	0.14300 	0.029120 
1.5500 	0.14470 	0.027502 
1.5667 	0.14640 	0.027502 
1.5833 	0.14810 	0.025884 
1.6000 	0.14962 	0.027502 
1.6167 	0.15132 	0.027502 
1.6333 	0.15283 	0.029120 
1.6500 	0.15453 	0.029120 
1.6667 	0.15624 	0.029120 
1.6833 	0.15813 	0.029120 
1.7000 	0.15983 	0.029120 
1.7167 	0.16153 	0.029120 
