Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.0080889 
0.10000 	0.0011349 	0.0064711 
0.11667 	0.0028372 	0.0080889 
0.13333 	0.0047287 	0.0064711 
0.15000 	0.0060528 	0.0064711 
0.16667 	0.0071877 	0.0080889 
0.18333 	0.0081334 	0.0080889 
0.20000 	0.0094575 	0.0080889 
0.21667 	0.010971 	0.0080889 
0.23333 	0.012484 	0.0080889 
0.25000 	0.013997 	0.0064711 
0.26667 	0.015699 	0.0080889 
0.28333 	0.017402 	0.0080889 
0.30000 	0.019293 	0.0080889 
0.31667 	0.021185 	0.0080889 
0.33333 	0.023265 	0.0080889 
0.35000 	0.025157 	0.0080889 
0.36667 	0.027048 	0.0080889 
0.38333 	0.028562 	0.0097066 
0.40000 	0.030264 	0.0080889 
0.41667 	0.031966 	0.0080889 
0.43333 	0.033669 	0.0080889 
0.45000 	0.035371 	0.0080889 
0.46667 	0.037073 	0.0080889 
0.48333 	0.038776 	0.0080889 
0.50000 	0.040289 	0.0064711 
0.51667 	0.041802 	0.0080889 
0.53333 	0.043504 	0.0080889 
0.55000 	0.045017 	0.0080889 
0.56667 	0.046720 	0.0080889 
0.58333 	0.048233 	0.0080889 
0.60000 	0.049935 	0.0080889 
0.61667 	0.051638 	0.0080889 
0.63333 	0.053529 	0.0080889 
0.65000 	0.055232 	0.0080889 
0.66667 	0.056745 	0.0080889 
0.68333 	0.058447 	0.0080889 
0.70000 	0.059960 	0.0080889 
0.71667 	0.061663 	0.0080889 
0.73333 	0.063365 	0.0080889 
0.75000 	0.065067 	0.0080889 
0.76667 	0.066959 	0.0080889 
0.78333 	0.068661 	0.0080889 
0.80000 	0.070363 	0.0080889 
0.81667 	0.072066 	0.0080889 
0.83333 	0.073579 	0.0080889 
0.85000 	0.075281 	0.0080889 
0.86667 	0.076794 	0.0080889 
0.88333 	0.078497 	0.0064711 
0.90000 	0.080199 	0.0080889 
0.91667 	0.081902 	0.0080889 
0.93333 	0.083604 	0.0080889 
0.95000 	0.085306 	0.0080889 
0.96667 	0.087009 	0.0080889 
0.98333 	0.088522 	0.0064711 
1.0000 	0.090224 	0.0080889 
1.0167 	0.091737 	0.0080889 
1.0333 	0.093250 	0.0080889 
1.0500 	0.094953 	0.0080889 
1.0667 	0.096655 	0.0080889 
1.0833 	0.098357 	0.0080889 
1.1000 	0.10006 	0.0064711 
1.1167 	0.10176 	0.0080889 
1.1333 	0.10346 	0.0080889 
1.1500 	0.10517 	0.0080889 
1.1667 	0.10668 	0.0080889 
1.1833 	0.10838 	0.0080889 
1.2000 	0.10990 	0.0080889 
1.2167 	0.11160 	0.0080889 
1.2333 	0.11349 	0.0080889 
1.2500 	0.11519 	0.0080889 
1.2667 	0.11689 	0.0080889 
1.2833 	0.11860 	0.0080889 
1.3000 	0.12030 	0.0080889 
1.3167 	0.12181 	0.0080889 
1.3333 	0.12351 	0.0080889 
1.3500 	0.12503 	0.0080889 
1.3667 	0.12673 	0.0080889 
1.3833 	0.12843 	0.0080889 
1.4000 	0.13032 	0.0080889 
1.4167 	0.13203 	0.0080889 
1.4333 	0.13373 	0.0080889 
1.4500 	0.13524 	0.0080889 
1.4667 	0.13694 	0.0080889 
1.4833 	0.13846 	0.0080889 
1.5000 	0.14016 	0.0064711 
1.5167 	0.14167 	0.0080889 
1.5333 	0.14337 	0.0097066 
1.5500 	0.14508 	0.0080889 
1.5667 	0.14697 	0.0064711 
1.5833 	0.14867 	0.0080889 
1.6000 	0.15018 	0.0080889 
1.6167 	0.15189 	0.0080889 
1.6333 	0.15340 	0.0080889 
1.6500 	0.15510 	0.0080889 
1.6667 	0.15680 	0.0080889 
1.6833 	0.15832 	0.0080889 
1.7000 	0.16021 	0.0080889 
1.7167 	0.16191 	0.0080889 
1.7333 	0.16361 	0.0097066 
1.7500 	0.16532 	0.0080889 
1.7667 	0.16702 	0.0080889 
1.7833 	0.16853 	0.0080889 
1.8000 	0.17004 	0.0080889 
1.8167 	0.17175 	0.0097066 
1.8333 	0.17326 	0.0080889 
1.8500 	0.17496 	0.0080889 
1.8667 	0.17667 	0.0080889 
1.8833 	0.17837 	0.0097066 
1.9000 	0.18007 	0.0080889 
1.9167 	0.18177 	0.0097066 
1.9333 	0.18329 	0.0080889 
1.9500 	0.18499 	0.0080889 
1.9667 	0.18669 	0.0097066 
1.9833 	0.18820 	0.0097066 
2.0000 	0.18991 	0.0080889 
2.0167 	0.19161 	0.0080889 
2.0333 	0.19350 	0.0097066 
2.0500 	0.19520 	0.0097066 
2.0667 	0.19690 	0.0080889 
2.0833 	0.19861 	0.0097066 
2.1000 	0.20012 	0.0097066 
2.1167 	0.20182 	0.0097066 
2.1333 	0.20352 	0.011324 
2.1500 	0.20523 	0.0097066 
2.1667 	0.20693 	0.011324 
2.1833 	0.20863 	0.011324 
2.2000 	0.21033 	0.0097066 
2.2167 	0.21204 	0.0097066 
2.2333 	0.21374 	0.011324 
2.2500 	0.21525 	0.011324 
2.2667 	0.21695 	0.011324 
2.2833 	0.21847 	0.011324 
2.3000 	0.22017 	0.011324 
2.3333 	0.22338 	0.012942 
2.3500 	0.22509 	0.014560 
2.3667 	0.22679 	0.012942 
2.3833 	0.22849 	0.012942 
2.4167 	0.23171 	0.014560 
2.4500 	0.23492 	0.014560 
2.4667 	0.23663 	0.016178 
2.5000 	0.24003 	0.016178 
2.5167 	0.24173 	0.016178 
2.5333 	0.24343 	0.016178 
2.5667 	0.24665 	0.017796 
2.6000 	0.25005 	0.019413 
2.6333 	0.25327 	0.019413 
2.6500 	0.25516 	0.021031 
