Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.00075660 	0.00000 
0.10000 	0.0022698 	0.00000 
0.11667 	0.0039721 	0.00000 
0.13333 	0.0054853 	0.00000 
0.15000 	0.0068094 	0.00000 
0.16667 	0.0077551 	0.00000 
0.18333 	0.0090792 	0.00000 
0.20000 	0.010592 	0.00000 
0.21667 	0.012106 	0.0016178 
0.23333 	0.013619 	0.0016178 
0.25000 	0.015321 	0.0032355 
0.26667 	0.017023 	0.0032355 
0.28333 	0.018726 	0.0048533 
0.30000 	0.020428 	0.0064711 
0.31667 	0.022320 	0.0048533 
0.33333 	0.024211 	0.0064711 
0.35000 	0.025913 	0.0064711 
0.36667 	0.027616 	0.0064711 
0.38333 	0.029507 	0.0080889 
0.40000 	0.031210 	0.0080889 
0.41667 	0.032912 	0.0080889 
0.43333 	0.034614 	0.0080889 
0.45000 	0.036127 	0.0097066 
0.46667 	0.037830 	0.0080889 
0.48333 	0.039343 	0.0097066 
0.50000 	0.041045 	0.0097066 
0.51667 	0.042559 	0.011324 
0.53333 	0.044261 	0.011324 
0.55000 	0.046152 	0.011324 
0.56667 	0.047666 	0.011324 
0.58333 	0.049368 	0.011324 
0.60000 	0.051070 	0.0097066 
0.61667 	0.052773 	0.011324 
0.63333 	0.054286 	0.011324 
0.65000 	0.055988 	0.0097066 
0.66667 	0.057501 	0.0080889 
0.68333 	0.059204 	0.0080889 
0.70000 	0.060906 	0.0064711 
0.71667 	0.062797 	0.0080889 
0.73333 	0.064500 	0.0080889 
0.75000 	0.066202 	0.0048533 
0.76667 	0.067904 	0.0048533 
0.78333 	0.069418 	0.0064711 
0.80000 	0.071120 	0.0064711 
0.81667 	0.072822 	0.0064711 
0.83333 	0.074336 	0.0080889 
0.85000 	0.076038 	0.0080889 
0.86667 	0.077740 	0.0080889 
0.88333 	0.079443 	0.0080889 
0.90000 	0.081145 	0.0080889 
0.91667 	0.082847 	0.0048533 
0.93333 	0.084360 	0.0016178 
0.95000 	0.086063 	0.0016178 
0.96667 	0.087576 	0.0032355 
0.98333 	0.089278 	0.0016178 
1.0000 	0.090792 	0.00000 
1.0167 	0.092494 	0.0032355 
1.0333 	0.094196 	0.0048533 
1.0500 	0.096088 	0.0048533 
1.0667 	0.097790 	0.0064711 
1.0833 	0.099303 	0.0064711 
1.1000 	0.10101 	0.0048533 
1.1167 	0.10252 	0.0048533 
1.1333 	0.10422 	0.0048533 
1.1500 	0.10592 	0.0048533 
1.1667 	0.10763 	0.0048533 
1.1833 	0.10933 	0.0064711 
1.2000 	0.11122 	0.0048533 
1.2167 	0.11292 	0.0048533 
1.2333 	0.11444 	0.0048533 
1.2500 	0.11614 	0.0064711 
1.2667 	0.11765 	0.0064711 
1.2833 	0.11935 	0.0064711 
1.3000 	0.12087 	0.0064711 
1.3167 	0.12257 	0.0080889 
1.3333 	0.12427 	0.0080889 
1.3500 	0.12597 	0.0064711 
1.3667 	0.12768 	0.0064711 
1.3833 	0.12938 	0.0064711 
1.4000 	0.13108 	0.0048533 
1.4167 	0.13259 	0.0048533 
1.4333 	0.13430 	0.0048533 
