Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00018915 	0.0032355 
0.083333 	0.00094575 	0.0016178 
0.10000 	0.0024589 	0.0032355 
0.11667 	0.0041613 	0.0032355 
0.13333 	0.0056745 	0.0032355 
0.15000 	0.0069985 	0.0016178 
0.16667 	0.0081334 	0.0032355 
0.18333 	0.0092683 	0.0032355 
0.20000 	0.010781 	0.0048533 
0.21667 	0.012295 	0.0064711 
0.23333 	0.013808 	0.0048533 
0.25000 	0.015321 	0.0048533 
0.26667 	0.016834 	0.0064711 
0.28333 	0.018537 	0.0064711 
0.30000 	0.020428 	0.0048533 
0.31667 	0.022320 	0.0064711 
0.33333 	0.024400 	0.0064711 
0.35000 	0.026481 	0.0064711 
0.36667 	0.028183 	0.0064711 
0.38333 	0.029886 	0.0048533 
0.40000 	0.031399 	0.0064711 
0.41667 	0.033101 	0.0064711 
0.43333 	0.034803 	0.0048533 
0.45000 	0.036506 	0.0064711 
0.46667 	0.038208 	0.0064711 
0.48333 	0.039910 	0.0048533 
0.50000 	0.041613 	0.0064711 
0.51667 	0.043126 	0.0064711 
0.53333 	0.044828 	0.0064711 
0.55000 	0.046342 	0.0064711 
0.56667 	0.047855 	0.0064711 
0.58333 	0.049557 	0.0064711 
0.60000 	0.051259 	0.0064711 
0.61667 	0.052962 	0.0064711 
0.63333 	0.054664 	0.0064711 
0.65000 	0.056366 	0.0080889 
0.66667 	0.058069 	0.0064711 
0.68333 	0.059771 	0.0064711 
0.70000 	0.061284 	0.0080889 
0.71667 	0.062987 	0.0080889 
0.73333 	0.064500 	0.0080889 
0.75000 	0.066202 	0.0064711 
0.76667 	0.067904 	0.0064711 
0.78333 	0.069607 	0.0064711 
0.80000 	0.071498 	0.0064711 
0.81667 	0.073201 	0.0080889 
0.83333 	0.074714 	0.0080889 
0.85000 	0.076416 	0.0080889 
0.86667 	0.078119 	0.0080889 
0.88333 	0.079632 	0.0080889 
0.90000 	0.081334 	0.0097066 
0.91667 	0.083036 	0.0097066 
0.93333 	0.084739 	0.0080889 
0.95000 	0.086441 	0.0080889 
0.96667 	0.088143 	0.0080889 
0.98333 	0.089846 	0.0080889 
1.0000 	0.091359 	0.0080889 
1.0167 	0.093061 	0.0080889 
1.0333 	0.094575 	0.0080889 
1.0500 	0.096088 	0.0097066 
1.0667 	0.097790 	0.0080889 
1.0833 	0.099492 	0.0064711 
1.1000 	0.10119 	0.0080889 
1.1167 	0.10290 	0.0080889 
1.1333 	0.10460 	0.0080889 
1.1500 	0.10630 	0.0064711 
1.1667 	0.10800 	0.0064711 
