Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.10000 	0.0013240 	0.00000 
0.11667 	0.0028372 	0.00000 
0.13333 	0.0045396 	0.0016178 
0.15000 	0.0062419 	0.00000 
0.16667 	0.0073768 	0.00000 
0.18333 	0.0085117 	0.00000 
0.20000 	0.0098357 	0.00000 
0.21667 	0.011160 	0.0016178 
0.23333 	0.012673 	0.00000 
0.25000 	0.014375 	0.00000 
0.26667 	0.015889 	0.00000 
0.28333 	0.017591 	0.0016178 
0.30000 	0.019293 	0.00000 
0.31667 	0.021185 	0.00000 
0.33333 	0.023454 	0.00000 
0.35000 	0.025346 	0.00000 
0.36667 	0.027237 	0.00000 
0.38333 	0.028940 	0.00000 
0.40000 	0.030453 	0.00000 
0.41667 	0.032155 	0.00000 
0.43333 	0.033669 	0.00000 
0.45000 	0.035371 	0.00000 
0.46667 	0.037073 	0.00000 
0.48333 	0.038776 	0.00000 
0.50000 	0.040478 	0.00000 
0.51667 	0.042180 	0.00000 
0.53333 	0.043693 	0.0016178 
0.55000 	0.045396 	0.00000 
0.56667 	0.046909 	0.00000 
0.58333 	0.048611 	0.00000 
0.60000 	0.050124 	0.00000 
0.61667 	0.051827 	0.00000 
0.63333 	0.053529 	0.00000 
0.65000 	0.055421 	0.00000 
0.66667 	0.057123 	0.00000 
0.68333 	0.058825 	0.00000 
0.70000 	0.060339 	0.00000 
0.71667 	0.062041 	0.00000 
0.73333 	0.063554 	0.00000 
0.75000 	0.065256 	0.00000 
0.76667 	0.066959 	0.00000 
0.78333 	0.068661 	0.00000 
0.80000 	0.070553 	0.00000 
0.81667 	0.072255 	0.00000 
0.83333 	0.073957 	0.00000 
0.85000 	0.075470 	0.00000 
0.86667 	0.077173 	0.00000 
0.88333 	0.078686 	0.00000 
0.90000 	0.080199 	0.00000 
0.91667 	0.081902 	0.0016178 
0.93333 	0.083604 	0.00000 
0.95000 	0.085306 	0.00000 
0.96667 	0.087009 	0.00000 
0.98333 	0.088711 	0.0016178 
1.0000 	0.090413 	0.00000 
1.0167 	0.091926 	0.00000 
1.0333 	0.093629 	0.00000 
1.0500 	0.095142 	0.00000 
1.0667 	0.096844 	0.0016178 
1.0833 	0.098547 	0.00000 
1.1000 	0.10025 	0.00000 
1.1167 	0.10195 	0.00000 
1.1333 	0.10365 	0.0016178 
1.1500 	0.10536 	0.00000 
1.1667 	0.10687 	0.00000 
1.1833 	0.10857 	0.0016178 
1.2000 	0.11027 	0.0016178 
1.2167 	0.11179 	0.00000 
1.2333 	0.11349 	0.00000 
1.2500 	0.11519 	0.00000 
1.2667 	0.11689 	0.0016178 
1.2833 	0.11860 	0.00000 
1.3000 	0.12049 	0.00000 
1.3167 	0.12219 	0.00000 
1.3333 	0.12370 	0.00000 
1.3500 	0.12541 	0.0016178 
1.3667 	0.12692 	0.00000 
1.3833 	0.12862 	0.00000 
1.4000 	0.13032 	0.00000 
1.4167 	0.13203 	0.0016178 
1.4333 	0.13373 	0.0016178 
1.4500 	0.13543 	0.00000 
1.4667 	0.13713 	0.00000 
1.4833 	0.13865 	0.00000 
1.5000 	0.14035 	0.00000 
1.5167 	0.14186 	0.00000 
1.5333 	0.14356 	0.0016178 
1.5500 	0.14508 	0.0016178 
1.5667 	0.14678 	0.00000 
1.5833 	0.14867 	0.0016178 
1.6000 	0.15037 	0.00000 
1.6167 	0.15208 	0.00000 
1.6333 	0.15359 	0.0016178 
1.6500 	0.15529 	0.0016178 
1.6667 	0.15699 	0.0016178 
1.6833 	0.15851 	0.0016178 
1.7000 	0.16021 	0.0016178 
1.7167 	0.16191 	0.0016178 
1.7333 	0.16361 	0.0016178 
1.7500 	0.16532 	0.0016178 
1.7667 	0.16702 	0.0016178 
1.7833 	0.16872 	0.0016178 
1.8000 	0.17042 	0.0016178 
1.8167 	0.17213 	0.0016178 
1.8333 	0.17364 	0.0032355 
1.8500 	0.17534 	0.0032355 
1.8667 	0.17704 	0.0032355 
1.8833 	0.17875 	0.0048533 
1.9000 	0.18045 	0.0048533 
1.9167 	0.18215 	0.0048533 
1.9333 	0.18385 	0.0064711 
1.9500 	0.18537 	0.0080889 
1.9667 	0.18707 	0.0080889 
1.9833 	0.18858 	0.0097066 
2.0000 	0.19028 	0.011324 
