Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.10000 	0.00094575 	-0.0016194 
0.11667 	0.0026481 	-0.0016194 
0.13333 	0.0043504 	-0.0016194 
0.15000 	0.0058636 	-0.0016194 
0.16667 	0.0071877 	-0.0016194 
0.18333 	0.0083226 	0.00000 
0.20000 	0.0092683 	0.00000 
0.21667 	0.010592 	-0.0016194 
0.23333 	0.012106 	-0.0016194 
0.25000 	0.013619 	0.00000 
0.26667 	0.015321 	0.00000 
0.28333 	0.017023 	0.0016178 
0.30000 	0.018537 	0.0016178 
0.31667 	0.020239 	0.0016178 
0.33333 	0.021941 	0.0032355 
0.35000 	0.023644 	0.0048533 
0.36667 	0.025913 	0.0064711 
0.38333 	0.027994 	0.0080889 
0.40000 	0.029886 	0.0080889 
0.41667 	0.031777 	0.011324 
0.43333 	0.033479 	0.012942 
0.45000 	0.034993 	0.014560 
0.46667 	0.036695 	0.016178 
0.48333 	0.038397 	0.019413 
0.50000 	0.039910 	0.022649 
0.51667 	0.041802 	0.025884 
0.53333 	0.043504 	0.029120 
0.55000 	0.045207 	0.032355 
0.56667 	0.046909 	0.035591 
0.58333 	0.048611 	0.038827 
0.60000 	0.050124 	0.040444 
0.61667 	0.051827 	0.043680 
0.63333 	0.053340 	0.046915 
0.65000 	0.055042 	0.050151 
0.66667 	0.056556 	0.051769 
0.68333 	0.058447 	0.055004 
0.70000 	0.060149 	0.058240 
0.71667 	0.061852 	0.061475 
0.73333 	0.063554 	0.064711 
0.75000 	0.065067 	0.067946 
0.76667 	0.066770 	0.071182 
0.78333 	0.068283 	0.074418 
0.80000 	0.069796 	0.076035 
0.81667 	0.071498 	0.079271 
0.83333 	0.073201 	0.082506 
0.85000 	0.074903 	0.087360 
0.86667 	0.076605 	0.090595 
0.88333 	0.078308 	0.093831 
0.90000 	0.080010 	0.098684 
0.91667 	0.081523 	0.10192 
0.93333 	0.083226 	0.10677 
0.95000 	0.084739 	0.11163 
0.96667 	0.086441 	0.11486 
0.98333 	0.088143 	0.11972 
1.0000 	0.090035 	0.12295 
1.0167 	0.091737 	0.12942 
1.0333 	0.093440 	0.13428 
1.0500 	0.095142 	0.13913 
1.0667 	0.096844 	0.14398 
1.0833 	0.098357 	0.15045 
1.1000 	0.10006 	0.15531 
1.1167 	0.10157 	0.16178 
1.1333 	0.10328 	0.16663 
1.1500 	0.10498 	0.17148 
1.1667 	0.10668 	0.17796 
1.1833 	0.10838 	0.18443 
1.2000 	0.11008 	0.19090 
1.2167 	0.11160 	0.19575 
1.2333 	0.11330 	0.20384 
1.2500 	0.11500 	0.21193 
1.2667 	0.11652 	0.22002 
1.2833 	0.11822 	0.22649 
1.3000 	0.11973 	0.23458 
1.3167 	0.12162 	0.24267 
1.3333 	0.12333 	0.25399 
1.3500 	0.12503 	0.26208 
1.3667 	0.12673 	0.27340 
1.3833 	0.12843 	0.28473 
1.4000 	0.12995 	0.29605 
1.4167 	0.13165 	0.30738 
1.4333 	0.13335 	0.31870 
1.4500 	0.13505 	0.33164 
1.4667 	0.13675 	0.34459 
1.4833 	0.13846 	0.35915 
1.5000 	0.14016 	0.37371 
1.5167 	0.14186 	0.38988 
1.5333 	0.14337 	0.40768 
1.5500 	0.14508 	0.42709 
1.5667 	0.14659 	0.44489 
1.5833 	0.14810 	0.46592 
1.6000 	0.14981 	0.48695 
1.6167 	0.15151 	0.50960 
1.6333 	0.15321 	0.53710 
1.6500 	0.15491 	0.56622 
1.6667 	0.15662 	0.60181 
1.6833 	0.15832 	0.63902 
1.7000 	0.15983 	0.68270 
1.7167 	0.16153 	0.73123 
1.7333 	0.16305 	0.78138 
1.7500 	0.16475 	0.83477 
1.7667 	0.16626 	0.88978 
1.7833 	0.16796 	0.95125 
1.8000 	0.16986 	1.0143 
1.8167 	0.17156 	1.0823 
1.8333 	0.17326 	1.1535 
1.8500 	0.17496 	1.2263 
1.8667 	0.17667 	1.2991 
1.8833 	0.17818 	1.3719 
1.9000 	0.17988 	1.4414 
1.9167 	0.18139 	1.5110 
1.9333 	0.18310 	1.5822 
1.9500 	0.18480 	1.6534 
1.9667 	0.18650 	1.7278 
1.9833 	0.18839 	1.8038 
2.0000 	0.18991 	1.8799 
2.0167 	0.19161 	1.9591 
2.0333 	0.19331 	2.0352 
2.0500 	0.19482 	2.1112 
2.0667 	0.19653 	2.1856 
2.0833 	0.19823 	2.2649 
2.1000 	0.19993 	2.3425 
2.1167 	0.20163 	2.4267 
2.1333 	0.20334 	2.5108 
2.1500 	0.20504 	2.5965 
2.1667 	0.20674 	2.6823 
2.1833 	0.20825 	2.7696 
2.2000 	0.20996 	2.8538 
2.2167 	0.21147 	2.9363 
2.2333 	0.21317 	3.0236 
2.2500 	0.21487 	3.1126 
2.2667 	0.21658 	3.2064 
2.2833 	0.21828 	3.3067 
2.3000 	0.22017 	3.4086 
2.3167 	0.22168 	3.5106 
2.3333 	0.22338 	3.6076 
2.3500 	0.22490 	3.7015 
2.3667 	0.22660 	3.7921 
2.3833 	0.22811 	3.8810 
2.4000 	0.22982 	3.9749 
2.4167 	0.23152 	4.0719 
2.4333 	0.23246 	4.1706 
2.4500 	0.23227 	4.2547 
2.5333 	0.23095 	4.2208 
