Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0048582 
0.10000 	0.0015132 	-0.0064776 
0.11667 	0.0026481 	-0.0064776 
0.13333 	0.0037830 	-0.0048582 
0.15000 	0.0051070 	-0.0048582 
0.16667 	0.0066202 	-0.0032388 
0.18333 	0.0081334 	-0.0048582 
0.20000 	0.0098357 	-0.0016194 
0.21667 	0.012106 	0.00000 
0.23333 	0.013997 	0.0032355 
0.25000 	0.015889 	0.0080889 
0.26667 	0.017591 	0.011324 
0.28333 	0.019293 	0.014560 
0.30000 	0.020806 	0.016178 
0.31667 	0.022509 	0.019413 
0.33333 	0.024022 	0.022649 
0.35000 	0.025535 	0.024267 
0.36667 	0.027237 	0.027502 
0.38333 	0.028940 	0.029120 
0.40000 	0.030642 	0.032355 
0.41667 	0.032344 	0.035591 
0.43333 	0.034047 	0.038827 
0.45000 	0.035749 	0.040444 
0.46667 	0.037262 	0.043680 
0.48333 	0.038965 	0.045298 
0.50000 	0.040478 	0.046915 
0.51667 	0.042180 	0.050151 
0.53333 	0.043883 	0.053387 
0.55000 	0.045585 	0.056622 
0.56667 	0.047287 	0.056622 
0.58333 	0.048990 	0.059858 
0.60000 	0.050692 	0.063093 
0.61667 	0.052205 	0.064711 
0.63333 	0.053907 	0.067946 
0.65000 	0.055421 	0.069564 
0.66667 	0.057123 	0.069564 
0.68333 	0.058825 	0.072800 
0.70000 	0.060528 	0.076035 
0.71667 	0.062230 	0.079271 
0.73333 	0.063932 	0.080889 
0.75000 	0.065635 	0.082506 
0.76667 	0.067337 	0.085742 
0.78333 	0.068850 	0.087360 
0.80000 	0.070553 	0.090595 
0.81667 	0.072255 	0.092213 
0.83333 	0.073768 	0.093831 
0.85000 	0.075470 	0.097066 
0.86667 	0.077173 	0.098684 
0.88333 	0.078875 	0.10192 
0.90000 	0.080577 	0.10354 
0.91667 	0.082280 	0.10516 
0.93333 	0.083982 	0.10839 
0.95000 	0.085495 	0.11001 
0.96667 	0.087198 	0.11163 
0.98333 	0.088900 	0.11486 
1.0000 	0.090602 	0.11486 
1.0167 	0.092305 	0.11810 
1.0333 	0.094007 	0.11972 
1.0500 	0.095709 	0.12133 
1.0667 	0.097412 	0.12457 
1.0833 	0.099114 	0.12619 
1.1000 	0.10063 	0.12780 
1.1167 	0.10233 	0.12942 
1.1333 	0.10384 	0.13266 
1.1500 	0.10555 	0.13266 
1.1667 	0.10706 	0.13589 
1.1833 	0.10876 	0.13751 
1.2000 	0.11046 	0.13913 
1.2167 	0.11217 	0.14075 
1.2333 	0.11368 	0.14236 
1.2500 	0.11538 	0.14398 
1.2667 	0.11689 	0.14560 
1.2833 	0.11860 	0.14722 
1.3000 	0.12011 	0.14884 
1.3167 	0.12181 	0.15045 
1.3333 	0.12351 	0.15207 
1.3500 	0.12522 	0.15369 
1.3667 	0.12692 	0.15531 
1.3833 	0.12862 	0.15692 
1.4000 	0.13032 	0.15854 
1.4167 	0.13203 	0.16016 
1.4333 	0.13354 	0.16178 
1.4500 	0.13524 	0.16340 
1.4667 	0.13694 	0.16501 
1.4833 	0.13865 	0.16663 
1.5000 	0.14054 	0.16663 
1.5167 	0.14224 	0.16825 
1.5333 	0.14394 	0.16987 
1.5500 	0.14564 	0.17148 
1.5667 	0.14735 	0.17310 
1.5833 	0.14905 	0.17472 
1.6000 	0.15056 	0.17634 
1.6167 	0.15226 	0.17796 
1.6333 	0.15397 	0.17796 
1.6500 	0.15567 	0.17957 
1.6667 	0.15756 	0.18119 
1.6833 	0.15926 	0.18281 
1.7000 	0.16078 	0.18443 
1.7167 	0.16248 	0.18443 
1.7333 	0.16399 	0.18604 
1.7500 	0.16569 	0.18604 
1.7667 	0.16721 	0.18766 
1.7833 	0.16891 	0.18766 
1.8000 	0.17061 	0.19090 
1.8167 	0.17231 	0.19252 
1.8333 	0.17402 	0.19252 
1.8500 	0.17572 	0.19252 
1.8667 	0.17742 	0.19413 
1.8833 	0.17893 	0.19575 
1.9000 	0.18064 	0.19575 
1.9167 	0.18215 	0.19737 
1.9333 	0.18385 	0.19737 
1.9500 	0.18556 	0.19899 
1.9667 	0.18745 	0.20060 
1.9833 	0.18915 	0.20060 
2.0000 	0.19085 	0.20060 
2.0167 	0.19236 	0.20384 
2.0333 	0.19407 	0.20384 
2.0500 	0.19558 	0.20384 
2.0667 	0.19728 	0.20546 
2.0833 	0.19880 	0.20546 
2.1000 	0.20050 	0.20707 
2.1167 	0.20220 	0.20707 
2.1333 	0.20390 	0.20707 
2.1500 	0.20560 	0.20707 
2.1667 	0.20731 	0.20869 
2.1833 	0.20882 	0.21031 
2.2000 	0.21052 	0.21031 
2.2167 	0.21204 	0.21193 
2.2333 	0.21374 	0.21031 
2.2500 	0.21525 	0.21193 
2.2667 	0.21695 	0.21355 
2.2833 	0.21885 	0.21355 
2.3000 	0.22055 	0.21355 
2.3167 	0.22225 	0.21516 
2.3333 	0.22395 	0.21516 
2.3500 	0.22565 	0.21516 
2.3833 	0.22887 	0.21678 
2.4000 	0.23057 	0.21840 
2.4333 	0.23398 	0.21840 
2.4500 	0.23568 	0.22002 
2.4667 	0.23738 	0.22002 
2.4833 	0.23908 	0.22002 
2.5167 	0.24230 	0.22325 
2.5500 	0.24552 	0.22325 
2.5833 	0.24892 	0.22325 
2.6167 	0.25232 	0.22325 
2.6500 	0.25554 	0.22487 
2.6833 	0.25876 	0.22649 
2.7167 	0.26197 	0.22649 
2.7500 	0.26538 	0.22811 
2.7833 	0.26878 	0.22811 
2.8167 	0.27219 	0.22972 
2.8500 	0.27559 	0.22972 
2.8833 	0.27899 	0.22972 
2.9167 	0.28240 	0.23134 
2.9500 	0.28580 	0.23296 
2.9833 	0.28902 	0.23296 
3.0167 	0.29224 	0.23296 
3.0500 	0.29545 	0.23458 
3.0833 	0.29886 	0.23458 
3.1167 	0.30226 	0.23458 
3.1500 	0.30548 	0.23619 
3.1833 	0.30869 	0.23619 
3.2167 	0.31191 	0.23619 
3.2500 	0.31550 	0.23943 
3.2833 	0.31891 	0.23781 
3.3167 	0.32212 	0.23943 
3.3500 	0.32553 	0.23943 
3.3833 	0.32893 	0.24105 
3.4167 	0.33233 	0.24105 
3.4500 	0.33574 	0.24105 
3.4833 	0.33896 	0.24267 
3.5167 	0.34217 	0.24267 
3.5500 	0.34539 	0.24267 
3.5833 	0.34879 	0.24428 
3.6167 	0.35201 	0.24428 
3.6500 	0.35541 	0.24428 
3.6833 	0.35863 	0.24428 
3.7167 	0.36222 	0.24590 
3.7500 	0.36544 	0.24590 
3.7833 	0.36884 	0.24752 
3.8167 	0.37206 	0.24752 
3.8500 	0.37546 	0.24752 
3.8833 	0.37905 	0.24914 
3.9167 	0.38246 	0.24914 
3.9500 	0.38567 	0.24914 
3.9833 	0.38889 	0.25075 
4.0167 	0.39230 	0.25075 
4.0500 	0.39551 	0.25075 
4.0833 	0.39892 	0.25075 
4.1167 	0.40213 	0.25237 
4.1500 	0.40535 	0.25237 
4.1833 	0.40875 	0.25237 
4.2167 	0.41216 	0.25399 
4.2500 	0.41556 	0.25399 
4.2833 	0.41878 	0.25399 
4.3167 	0.42218 	0.25399 
4.3500 	0.42559 	0.25561 
4.3833 	0.42899 	0.25561 
4.4167 	0.43221 	0.25561 
4.4500 	0.43561 	0.25561 
4.4833 	0.43883 	0.25561 
4.5167 	0.44223 	0.25723 
4.5667 	0.44715 	0.25723 
4.6167 	0.45207 	0.25884 
4.6500 	0.45547 	0.25723 
4.6833 	0.45888 	0.25884 
4.7333 	0.46379 	0.26046 
4.7833 	0.46890 	0.25884 
4.8333 	0.47401 	0.26046 
4.8833 	0.47911 	0.26208 
4.9333 	0.48403 	0.26208 
4.9833 	0.48895 	0.26208 
5.0333 	0.49387 	0.26370 
5.0833 	0.49860 	0.26370 
5.1333 	0.50370 	0.26370 
5.1833 	0.50881 	0.26531 
5.2333 	0.51373 	0.26531 
5.2833 	0.51884 	0.26531 
5.3333 	0.52394 	0.26693 
5.3833 	0.52886 	0.26693 
5.4333 	0.53378 	0.26855 
5.4833 	0.53889 	0.26855 
5.5333 	0.54361 	0.26855 
5.5833 	0.54872 	0.26855 
5.6333 	0.55383 	0.27017 
5.6833 	0.55875 	0.27017 
5.7333 	0.56385 	0.27179 
5.7833 	0.56896 	0.27179 
5.8333 	0.57388 	0.27179 
5.8833 	0.57880 	0.27340 
5.9333 	0.58409 	0.27340 
5.9833 	0.58901 	0.27502 
6.0333 	0.59374 	0.27502 
6.0833 	0.59885 	0.27502 
6.1333 	0.60395 	0.27664 
6.1833 	0.60887 	0.27664 
6.2333 	0.61398 	0.27664 
6.2833 	0.61908 	0.27826 
6.3333 	0.62400 	0.27826 
6.3833 	0.62911 	0.27826 
6.4333 	0.63403 	0.27826 
6.5000 	0.64046 	0.27987 
6.5500 	0.64538 	0.27987 
6.6000 	0.65029 	0.27987 
6.6500 	0.65521 	0.28149 
6.7000 	0.66051 	0.27987 
6.7500 	0.66562 	0.28149 
6.8167 	0.67205 	0.28311 
6.8667 	0.67734 	0.28149 
6.9167 	0.68245 	0.28311 
6.9833 	0.68888 	0.28473 
7.0500 	0.69550 	0.28473 
7.1167 	0.70212 	0.28473 
7.1833 	0.70893 	0.28635 
7.2500 	0.71555 	0.28635 
7.3167 	0.72198 	0.28635 
7.3833 	0.72879 	0.28796 
7.4500 	0.73522 	0.28796 
7.5167 	0.74203 	0.28796 
7.5833 	0.74846 	0.28796 
7.6500 	0.75546 	0.28958 
7.7167 	0.76246 	0.28958 
7.7833 	0.76908 	0.29120 
7.8500 	0.77589 	0.29120 
7.9167 	0.78213 	0.29282 
7.9833 	0.78875 	0.29282 
8.0500 	0.79537 	0.29282 
8.1167 	0.80218 	0.29443 
8.1833 	0.80899 	0.29605 
8.2500 	0.81542 	0.29443 
8.3167 	0.82242 	0.29605 
8.3833 	0.82885 	0.29767 
8.4500 	0.83566 	0.29767 
8.5167 	0.84209 	0.29605 
8.5833 	0.84890 	0.16178 
8.6000 	0.85060 	-0.034008 
