Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.10000 	0.0013240 	0.00000 
0.11667 	0.0030264 	0.00000 
0.13333 	0.0047287 	0.00000 
0.15000 	0.0062419 	0.00000 
0.16667 	0.0073768 	0.00000 
0.18333 	0.0083226 	0.00000 
0.20000 	0.0096466 	-0.0016194 
0.21667 	0.010971 	0.00000 
0.23333 	0.012484 	0.00000 
0.25000 	0.014186 	0.00000 
0.26667 	0.015889 	0.00000 
0.28333 	0.017591 	0.00000 
0.30000 	0.019293 	0.00000 
0.31667 	0.021185 	0.00000 
0.33333 	0.023076 	0.0016178 
0.35000 	0.024968 	0.00000 
0.36667 	0.026670 	0.00000 
0.38333 	0.028372 	0.00000 
0.40000 	0.030075 	0.00000 
0.41667 	0.031966 	0.00000 
0.43333 	0.033669 	0.00000 
0.45000 	0.035371 	0.00000 
0.46667 	0.037073 	0.00000 
0.48333 	0.038586 	0.00000 
0.50000 	0.040100 	0.00000 
0.51667 	0.041802 	0.00000 
0.53333 	0.043504 	0.00000 
0.55000 	0.045207 	0.00000 
0.56667 	0.046909 	0.00000 
0.58333 	0.048611 	0.00000 
0.60000 	0.050503 	0.00000 
0.61667 	0.052016 	0.00000 
0.63333 	0.053718 	0.00000 
0.65000 	0.055421 	0.00000 
0.66667 	0.056934 	0.00000 
0.68333 	0.058447 	0.00000 
0.70000 	0.060149 	0.00000 
0.71667 	0.061852 	0.00000 
0.73333 	0.063554 	0.00000 
0.75000 	0.065256 	0.00000 
0.76667 	0.066959 	0.00000 
0.78333 	0.068661 	0.00000 
0.80000 	0.070174 	0.00000 
0.81667 	0.071877 	0.00000 
0.83333 	0.073390 	0.00000 
0.85000 	0.075092 	0.00000 
0.86667 	0.076794 	0.00000 
0.88333 	0.078497 	0.00000 
0.90000 	0.080199 	0.00000 
0.91667 	0.081902 	0.00000 
0.93333 	0.083604 	0.00000 
0.95000 	0.085306 	0.00000 
0.96667 	0.086819 	0.00000 
0.98333 	0.088522 	0.00000 
1.0000 	0.090035 	0.00000 
1.0167 	0.091737 	0.0016178 
1.0333 	0.093440 	0.0016178 
1.0500 	0.095142 	0.00000 
1.0667 	0.096844 	0.00000 
1.0833 	0.098547 	0.00000 
1.1000 	0.10025 	0.00000 
1.1167 	0.10195 	0.0016178 
1.1333 	0.10346 	0.0016178 
1.1500 	0.10517 	0.00000 
1.1667 	0.10687 	0.00000 
1.1833 	0.10857 	0.00000 
1.2000 	0.11027 	0.00000 
1.2167 	0.11198 	0.0016178 
1.2333 	0.11368 	0.0016178 
1.2500 	0.11519 	0.0016178 
1.2667 	0.11689 	0.0016178 
1.2833 	0.11860 	0.0016178 
1.3000 	0.12011 	0.0032355 
1.3167 	0.12162 	0.0032355 
1.3333 	0.12333 	0.0048533 
1.3500 	0.12503 	0.0048533 
1.3667 	0.12673 	0.0048533 
1.3833 	0.12843 	0.0080889 
1.4000 	0.13013 	0.0097066 
1.4167 	0.13184 	0.0097066 
1.4333 	0.13354 	0.011324 
1.4500 	0.13505 	0.012942 
1.4667 	0.13675 	0.014560 
1.4833 	0.13846 	0.017796 
1.5000 	0.14016 	0.019413 
1.5167 	0.14186 	0.021031 
1.5333 	0.14375 	0.022649 
1.5500 	0.14527 	0.024267 
1.5667 	0.14697 	0.027502 
1.5833 	0.14867 	0.027502 
1.6000 	0.15018 	0.029120 
1.6167 	0.15189 	0.030738 
1.6333 	0.15359 	0.033973 
1.6500 	0.15529 	0.035591 
1.6667 	0.15699 	0.038827 
1.6833 	0.15870 	0.038827 
1.7000 	0.16040 	0.040444 
1.7167 	0.16191 	0.042062 
1.7333 	0.16361 	0.045298 
1.7500 	0.16513 	0.045298 
1.7667 	0.16683 	0.048533 
1.7833 	0.16834 	0.048533 
1.8000 	0.17004 	0.051769 
1.8167 	0.17175 	0.053387 
1.8333 	0.17326 	0.055004 
1.8500 	0.17515 	0.056622 
1.8667 	0.17685 	0.058240 
1.8833 	0.17837 	0.059858 
1.9000 	0.18007 	0.059858 
1.9167 	0.18177 	0.063093 
1.9333 	0.18329 	0.064711 
1.9500 	0.18499 	0.066329 
1.9667 	0.18669 	0.067946 
1.9833 	0.18839 	0.067946 
2.0000 	0.19028 	0.071182 
2.0167 	0.19199 	0.072800 
