Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.0013240 	0.00000 
0.10000 	0.0028372 	0.00000 
0.11667 	0.0045396 	0.00000 
0.13333 	0.0060528 	0.00000 
0.15000 	0.0071877 	0.00000 
0.16667 	0.0081334 	0.00000 
0.18333 	0.0092683 	0.00000 
0.20000 	0.010781 	0.00000 
0.21667 	0.012295 	0.00000 
0.23333 	0.013997 	0.00000 
0.25000 	0.015510 	0.00000 
0.26667 	0.017213 	0.00000 
0.28333 	0.018726 	0.00000 
0.30000 	0.020428 	0.00000 
0.31667 	0.022320 	0.00000 
0.33333 	0.024400 	0.00000 
0.35000 	0.026481 	0.00000 
0.36667 	0.028183 	0.00000 
0.38333 	0.030075 	0.00000 
0.40000 	0.031777 	0.0016178 
0.41667 	0.033479 	0.00000 
0.43333 	0.034993 	0.00000 
0.45000 	0.036695 	0.00000 
0.46667 	0.038208 	0.00000 
0.48333 	0.039910 	0.0016178 
0.50000 	0.041613 	0.0016178 
0.51667 	0.043504 	0.00000 
0.53333 	0.045207 	0.00000 
0.55000 	0.046909 	0.00000 
0.56667 	0.048611 	0.00000 
0.58333 	0.050124 	0.00000 
0.60000 	0.051638 	0.0016178 
0.61667 	0.053340 	0.00000 
0.63333 	0.054853 	0.00000 
0.65000 	0.056556 	0.00000 
0.66667 	0.058258 	0.00000 
0.68333 	0.060149 	0.00000 
0.70000 	0.061852 	0.00000 
0.71667 	0.063554 	0.00000 
0.73333 	0.065067 	0.00000 
0.75000 	0.066580 	0.0016178 
0.76667 	0.068283 	0.00000 
0.78333 	0.069796 	0.0016178 
0.80000 	0.071498 	0.0016178 
0.81667 	0.073201 	0.0016178 
0.83333 	0.074903 	0.0016178 
0.85000 	0.076794 	0.00000 
0.86667 	0.078497 	0.0016178 
0.88333 	0.080010 	0.0016178 
0.90000 	0.081712 	0.0016178 
0.91667 	0.083415 	0.0016178 
0.93333 	0.084928 	0.0032355 
0.95000 	0.086630 	0.0016178 
0.96667 	0.088333 	0.0032355 
0.98333 	0.090035 	0.0032355 
1.0000 	0.091737 	0.0048533 
1.0167 	0.093440 	0.0048533 
1.0333 	0.094953 	0.0080889 
1.0500 	0.096655 	0.0097066 
1.0667 	0.098168 	0.011324 
1.0833 	0.099871 	0.012942 
1.1000 	0.10138 	0.014560 
1.1167 	0.10309 	0.016178 
1.1333 	0.10479 	0.019413 
1.1500 	0.10649 	0.021031 
1.1667 	0.10819 	0.024267 
1.1833 	0.10990 	0.027502 
1.2000 	0.11160 	0.029120 
1.2167 	0.11311 	0.032355 
1.2333 	0.11481 	0.033973 
1.2500 	0.11633 	0.037209 
1.2667 	0.11803 	0.040444 
1.2833 	0.11973 	0.042062 
1.3000 	0.12162 	0.043680 
1.3167 	0.12333 	0.046915 
1.3333 	0.12503 	0.050151 
1.3500 	0.12673 	0.051769 
1.3667 	0.12843 	0.055004 
1.3833 	0.12995 	0.056622 
1.4000 	0.13165 	0.059858 
1.4167 	0.13316 	0.063093 
1.4333 	0.13486 	0.064711 
1.4500 	0.13657 	0.066329 
1.4667 	0.13846 	0.069564 
1.4833 	0.14016 	0.071182 
1.5000 	0.14167 	0.074418 
1.5167 	0.14337 	0.077653 
1.5333 	0.14489 	0.080889 
1.5500 	0.14640 	0.082506 
1.5667 	0.14810 	0.084124 
1.5833 	0.14962 	0.085742 
1.6000 	0.15132 	0.088978 
1.6167 	0.15302 	0.090595 
1.6333 	0.15472 	0.093831 
1.6500 	0.15643 	0.095449 
1.6667 	0.15813 	0.098684 
1.6833 	0.15983 	0.10030 
1.7000 	0.16153 	0.10354 
1.7167 	0.16305 	0.10677 
1.7333 	0.16475 	0.10839 
1.7500 	0.16645 	0.11001 
1.7667 	0.16815 	0.11324 
1.7833 	0.16986 	0.11486 
1.8000 	0.17156 	0.11648 
1.8167 	0.17326 	0.11972 
1.8333 	0.17496 	0.12295 
1.8500 	0.17667 	0.12457 
1.8667 	0.17818 	0.12619 
1.8833 	0.17988 	0.12780 
1.9000 	0.18158 	0.13104 
1.9167 	0.18329 	0.13266 
1.9333 	0.18499 	0.13428 
1.9500 	0.18669 	0.13751 
1.9667 	0.18820 	0.13913 
1.9833 	0.18991 	0.14236 
2.0000 	0.19161 	0.14398 
2.0167 	0.19331 	0.14560 
2.0333 	0.19482 	0.14722 
2.0500 	0.19653 	0.15045 
2.0667 	0.19823 	0.15207 
2.0833 	0.19974 	0.15369 
2.1000 	0.20163 	0.15692 
2.1167 	0.20334 	0.15692 
2.1333 	0.20504 	0.16016 
2.1500 	0.20655 	0.16340 
2.1667 	0.20825 	0.16340 
2.1833 	0.20996 	0.16663 
2.2000 	0.21147 	0.16825 
2.2167 	0.21317 	0.16987 
2.2333 	0.21487 	0.17310 
2.2500 	0.21658 	0.17472 
2.2667 	0.21828 	0.17634 
2.2833 	0.22017 	0.17796 
2.3167 	0.22338 	0.18281 
2.3500 	0.22660 	0.18604 
2.3667 	0.22830 	0.18766 
2.4000 	0.23152 	0.19090 
2.4167 	0.23322 	0.19252 
2.4333 	0.23492 	0.19575 
2.4500 	0.23663 	0.19575 
2.4667 	0.23833 	0.19899 
2.5000 	0.24135 	0.20060 
2.5167 	0.24306 	0.20384 
2.5500 	0.24646 	0.20546 
2.5833 	0.24987 	0.20869 
2.6167 	0.25327 	0.21355 
2.6500 	0.25649 	0.21516 
2.6833 	0.25970 	0.21840 
2.7167 	0.26311 	0.22325 
2.7333 	0.26500 	0.22325 
2.7667 	0.26840 	0.22649 
2.8000 	0.27162 	0.22972 
2.8333 	0.27483 	0.23296 
2.8667 	0.27824 	0.23458 
2.9000 	0.28164 	0.23781 
2.9333 	0.28505 	0.24105 
2.9667 	0.28807 	0.24267 
3.0000 	0.29148 	0.24590 
3.0333 	0.29488 	0.24752 
3.0667 	0.29829 	0.25075 
3.1000 	0.30150 	0.25237 
3.1333 	0.30472 	0.25561 
3.1667 	0.30812 	0.25723 
3.2000 	0.31153 	0.25884 
3.2333 	0.31512 	0.26208 
3.2667 	0.31834 	0.26370 
3.3000 	0.32155 	0.26531 
3.3333 	0.32477 	0.26693 
3.3667 	0.32817 	0.27017 
3.4000 	0.33158 	0.27017 
3.4333 	0.33479 	0.27179 
3.4667 	0.33801 	0.27340 
3.5000 	0.34141 	0.27502 
3.5333 	0.34482 	0.27664 
3.5667 	0.34822 	0.27664 
3.6000 	0.35163 	0.27826 
3.6333 	0.35484 	0.27987 
3.6667 	0.35825 	0.27987 
3.7000 	0.36165 	0.28311 
3.7333 	0.36506 	0.28311 
3.7667 	0.36827 	0.28473 
3.8000 	0.37149 	0.28635 
3.8333 	0.37489 	0.28635 
3.8667 	0.37830 	0.28796 
3.9000 	0.38151 	0.28796 
3.9333 	0.38473 	0.28958 
3.9667 	0.38813 	0.28958 
4.0000 	0.39154 	0.29120 
4.0333 	0.39494 	0.29282 
4.0667 	0.39816 	0.29282 
4.1000 	0.40156 	0.29282 
4.1333 	0.40497 	0.29443 
4.1667 	0.40837 	0.29443 
4.2000 	0.41159 	0.29605 
4.2333 	0.41480 	0.29605 
4.2667 	0.41802 	0.29767 
4.3000 	0.42142 	0.29767 
4.3333 	0.42483 	0.29767 
4.3667 	0.42804 	0.29929 
4.4000 	0.43145 	0.29929 
4.4333 	0.43466 	0.30091 
4.4667 	0.43807 	0.30091 
