Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.10000 	0.0015132 	0.00000 
0.11667 	0.0034047 	0.00000 
0.13333 	0.0049179 	0.0016178 
0.15000 	0.0062419 	0.0016178 
0.16667 	0.0071877 	0.00000 
0.18333 	0.0083226 	0.0016178 
0.20000 	0.0094575 	0.00000 
0.21667 	0.010781 	0.00000 
0.23333 	0.012295 	0.00000 
0.25000 	0.013997 	0.00000 
0.26667 	0.015699 	0.0016178 
0.28333 	0.017402 	0.0016178 
0.30000 	0.019104 	0.00000 
0.31667 	0.020806 	0.00000 
0.33333 	0.022509 	0.0016178 
0.35000 	0.024211 	0.0016178 
0.36667 	0.026481 	0.00000 
0.38333 	0.028562 	0.00000 
0.40000 	0.030453 	0.00000 
0.41667 	0.032344 	0.00000 
0.43333 	0.034047 	0.0016178 
0.45000 	0.035560 	0.00000 
0.46667 	0.037262 	0.00000 
0.48333 	0.038776 	0.0016178 
0.50000 	0.040478 	0.00000 
0.51667 	0.042180 	0.00000 
0.53333 	0.043883 	0.00000 
0.55000 	0.045585 	0.0016178 
0.56667 	0.047287 	0.00000 
0.58333 	0.048990 	0.00000 
0.60000 	0.050692 	0.00000 
0.61667 	0.052205 	0.0016178 
0.63333 	0.053907 	0.00000 
0.65000 	0.055421 	0.00000 
0.66667 	0.057123 	0.0016178 
0.68333 	0.058825 	0.0016178 
0.70000 	0.060528 	0.0016178 
0.71667 	0.062230 	0.0016178 
0.73333 	0.063932 	0.0016178 
0.75000 	0.065446 	0.00000 
0.76667 	0.067148 	0.0016178 
0.78333 	0.068661 	0.00000 
0.80000 	0.070174 	0.0016178 
0.81667 	0.071877 	0.0016178 
0.83333 	0.073390 	0.00000 
0.85000 	0.075281 	0.00000 
0.86667 	0.076984 	0.00000 
0.88333 	0.078686 	0.0016178 
0.90000 	0.080388 	0.00000 
0.91667 	0.082091 	0.0016178 
0.93333 	0.083793 	0.0016178 
0.95000 	0.085306 	0.00000 
0.96667 	0.087009 	0.00000 
0.98333 	0.088711 	0.00000 
1.0000 	0.090413 	0.00000 
1.0167 	0.092116 	0.0016178 
1.0333 	0.093818 	0.00000 
1.0500 	0.095520 	0.00000 
1.0667 	0.097223 	0.00000 
1.0833 	0.098736 	0.00000 
1.1000 	0.10044 	0.00000 
1.1167 	0.10195 	0.00000 
1.1333 	0.10365 	0.00000 
1.1500 	0.10536 	0.0016178 
1.1667 	0.10706 	0.0016178 
1.1833 	0.10876 	0.0016178 
1.2000 	0.11046 	0.00000 
1.2167 	0.11217 	0.0016178 
1.2333 	0.11368 	0.0016178 
1.2500 	0.11538 	0.0016178 
1.2667 	0.11689 	0.0016178 
1.2833 	0.11841 	0.00000 
1.3000 	0.12011 	0.0016178 
1.3167 	0.12181 	0.0016178 
1.3333 	0.12351 	0.0016178 
1.3500 	0.12522 	0.0016178 
1.3667 	0.12692 	0.0032355 
1.3833 	0.12862 	0.0032355 
1.4000 	0.13032 	0.0048533 
1.4167 	0.13203 	0.0048533 
1.4333 	0.13354 	0.0064711 
1.4500 	0.13524 	0.0080889 
1.4667 	0.13694 	0.0097066 
1.4833 	0.13884 	0.011324 
1.5000 	0.14054 	0.011324 
1.5167 	0.14224 	0.012942 
1.5333 	0.14394 	0.014560 
1.5500 	0.14546 	0.016178 
1.5667 	0.14716 	0.017796 
1.5833 	0.14867 	0.019413 
1.6000 	0.15037 	0.021031 
1.6167 	0.15189 	0.022649 
1.6333 	0.15359 	0.024267 
1.6500 	0.15529 	0.024267 
