Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.0016178 
0.10000 	0.0015132 	0.00000 
0.11667 	0.0032155 	0.00000 
0.13333 	0.0049179 	0.0016178 
0.15000 	0.0066202 	0.00000 
0.16667 	0.0077551 	0.00000 
0.18333 	0.0088900 	0.00000 
0.20000 	0.010025 	0.00000 
0.21667 	0.011538 	0.0016178 
0.23333 	0.013051 	0.0016178 
0.25000 	0.014754 	0.00000 
0.26667 	0.016456 	0.0016178 
0.28333 	0.018158 	0.00000 
0.30000 	0.019861 	0.00000 
0.31667 	0.021563 	0.0016178 
0.33333 	0.023644 	0.00000 
0.35000 	0.025535 	0.00000 
0.36667 	0.027237 	0.0016178 
0.38333 	0.028940 	0.0016178 
0.40000 	0.030642 	0.00000 
0.41667 	0.032344 	0.0016178 
0.43333 	0.034047 	0.0016178 
0.45000 	0.035749 	0.00000 
0.46667 	0.037262 	0.0016178 
0.48333 	0.038965 	0.0016178 
0.50000 	0.040478 	0.00000 
0.51667 	0.041991 	0.0016178 
0.53333 	0.043693 	0.0016178 
0.55000 	0.045396 	0.0016178 
0.56667 	0.047287 	0.0016178 
0.58333 	0.048990 	0.0016178 
0.60000 	0.050692 	0.00000 
0.61667 	0.052394 	0.0016178 
0.63333 	0.053907 	0.0016178 
0.65000 	0.055421 	0.00000 
0.66667 	0.057123 	0.0016178 
0.68333 	0.058825 	0.0016178 
0.70000 	0.060528 	0.00000 
0.71667 	0.062419 	0.00000 
0.73333 	0.064122 	0.00000 
0.75000 	0.066013 	0.0016178 
0.76667 	0.067715 	0.0016178 
0.78333 	0.069229 	0.0016178 
0.80000 	0.070931 	0.0016178 
0.81667 	0.072444 	0.0016178 
0.83333 	0.074146 	0.0016178 
0.85000 	0.075849 	0.0016178 
0.86667 	0.077740 	0.00000 
0.88333 	0.079443 	0.0016178 
0.90000 	0.081145 	0.0016178 
0.91667 	0.082658 	0.0016178 
0.93333 	0.084360 	0.0016178 
0.95000 	0.085874 	0.0016178 
0.96667 	0.087576 	0.0032355 
0.98333 	0.089089 	0.0032355 
1.0000 	0.090792 	0.0032355 
1.0167 	0.092494 	0.0032355 
1.0333 	0.094196 	0.0032355 
1.0500 	0.095899 	0.0064711 
1.0667 	0.097601 	0.0080889 
1.0833 	0.099303 	0.0080889 
1.1000 	0.10082 	0.0097066 
1.1167 	0.10233 	0.011324 
1.1333 	0.10403 	0.012942 
1.1500 	0.10573 	0.014560 
1.1667 	0.10744 	0.014560 
1.1833 	0.10914 	0.017796 
1.2000 	0.11103 	0.019413 
1.2167 	0.11273 	0.021031 
1.2333 	0.11444 	0.022649 
1.2500 	0.11595 	0.024267 
1.2667 	0.11746 	0.025884 
1.2833 	0.11916 	0.027502 
1.3000 	0.12087 	0.029120 
1.3167 	0.12238 	0.030738 
1.3333 	0.12408 	0.032355 
1.3500 	0.12578 	0.033973 
1.3667 	0.12749 	0.035591 
1.3833 	0.12919 	0.037209 
1.4000 	0.13070 	0.038827 
1.4167 	0.13240 	0.040444 
1.4333 	0.13392 	0.043680 
1.4500 	0.13543 	0.043680 
1.4667 	0.13713 	0.046915 
1.4833 	0.13884 	0.046915 
1.5000 	0.14054 	0.048533 
1.5167 	0.14243 	0.051769 
1.5333 	0.14413 	0.053387 
1.5500 	0.14583 	0.055004 
1.5667 	0.14735 	0.056622 
1.5833 	0.14905 	0.058240 
1.6000 	0.15056 	0.059858 
1.6167 	0.15226 	0.063093 
1.6333 	0.15397 	0.063093 
1.6500 	0.15586 	0.064711 
1.6667 	0.15756 	0.066329 
1.6833 	0.15926 	0.069564 
