Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.10000 	0.0015132 	0.00000 
0.11667 	0.0032155 	0.00000 
0.13333 	0.0049179 	0.00000 
0.15000 	0.0066202 	0.00000 
0.16667 	0.0075660 	0.00000 
0.18333 	0.0087009 	0.0016178 
0.20000 	0.010025 	0.0016178 
0.21667 	0.011538 	0.0016178 
0.23333 	0.013240 	0.00000 
0.25000 	0.014754 	0.00000 
0.26667 	0.016456 	0.0016178 
0.28333 	0.018158 	0.0016178 
0.30000 	0.019861 	0.0016178 
0.31667 	0.021941 	0.0016178 
0.33333 	0.023833 	0.0016178 
0.35000 	0.025535 	0.00000 
0.36667 	0.027237 	0.00000 
0.38333 	0.028940 	0.0016178 
0.40000 	0.030642 	0.0016178 
0.41667 	0.032344 	0.0016178 
0.43333 	0.034047 	0.00000 
0.45000 	0.035749 	0.00000 
0.46667 	0.037452 	0.0016178 
0.48333 	0.038965 	0.0016178 
0.50000 	0.040667 	0.0016178 
0.51667 	0.042180 	0.0016178 
0.53333 	0.043883 	0.0016178 
0.55000 	0.045585 	0.0016178 
0.56667 	0.047287 	0.0016178 
0.58333 	0.049179 	0.0016178 
0.60000 	0.050881 	0.0016178 
0.61667 	0.052394 	0.0016178 
0.63333 	0.054097 	0.00000 
0.65000 	0.055610 	0.0016178 
0.66667 	0.057312 	0.0016178 
0.68333 	0.059014 	0.0016178 
0.70000 	0.060717 	0.0016178 
0.71667 	0.062419 	0.0016178 
0.73333 	0.064122 	0.0016178 
0.75000 	0.065824 	0.0016178 
0.76667 	0.067526 	0.0016178 
0.78333 	0.069229 	0.0032355 
0.80000 	0.070742 	0.0032355 
0.81667 	0.072444 	0.0016178 
0.83333 	0.073957 	0.0016178 
0.85000 	0.075660 	0.0016178 
0.86667 	0.077362 	0.0016178 
0.88333 	0.079064 	0.0032355 
0.90000 	0.080767 	0.0032355 
0.91667 	0.082469 	0.0032355 
0.93333 	0.084171 	0.0032355 
0.95000 	0.085685 	0.0016178 
0.96667 	0.087198 	0.0032355 
0.98333 	0.088900 	0.0016178 
1.0000 	0.090602 	0.0016178 
1.0167 	0.092116 	0.0032355 
1.0333 	0.094007 	0.0032355 
1.0500 	0.095709 	0.0032355 
1.0667 	0.097412 	0.0032355 
1.0833 	0.099114 	0.0032355 
1.1000 	0.10063 	0.0032355 
1.1167 	0.10233 	0.0032355 
1.1333 	0.10384 	0.0032355 
1.1500 	0.10555 	0.0032355 
1.1667 	0.10725 	0.0032355 
1.1833 	0.10895 	0.0032355 
1.2000 	0.11065 	0.0048533 
1.2167 	0.11235 	0.0032355 
1.2333 	0.11406 	0.0032355 
1.2500 	0.11576 	0.0048533 
1.2667 	0.11746 	0.0032355 
1.2833 	0.11916 	0.0048533 
1.3000 	0.12068 	0.0048533 
1.3167 	0.12238 	0.0032355 
1.3333 	0.12408 	0.0048533 
1.3500 	0.12578 	0.0048533 
1.3667 	0.12749 	0.0048533 
1.3833 	0.12919 	0.0032355 
1.4000 	0.13070 	0.0048533 
1.4167 	0.13240 	0.0048533 
1.4333 	0.13392 	0.0048533 
1.4500 	0.13543 	0.0064711 
1.4667 	0.13713 	0.0064711 
1.4833 	0.13884 	0.0048533 
1.5000 	0.14054 	0.0048533 
1.5167 	0.14224 	0.0080889 
1.5333 	0.14394 	0.0080889 
1.5500 	0.14564 	0.0064711 
1.5667 	0.14735 	0.0080889 
1.5833 	0.14905 	0.0097066 
1.6000 	0.15056 	0.0097066 
1.6167 	0.15226 	0.011324 
