Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.00075660 	0.00000 
0.10000 	0.0020806 	0.00000 
0.11667 	0.0039721 	0.00000 
0.13333 	0.0054853 	0.00000 
0.15000 	0.0068094 	0.00000 
0.16667 	0.0079443 	0.0016178 
0.18333 	0.0090792 	0.0016178 
0.20000 	0.010403 	0.00000 
0.21667 	0.011916 	0.00000 
0.23333 	0.013430 	0.00000 
0.25000 	0.014943 	0.0016178 
0.26667 	0.016645 	0.0016178 
0.28333 	0.018347 	0.0016178 
0.30000 	0.020239 	0.0016178 
0.31667 	0.022509 	0.0016178 
0.33333 	0.024400 	0.0016178 
0.35000 	0.026103 	0.00000 
0.36667 	0.027805 	0.0016178 
0.38333 	0.029507 	0.00000 
0.40000 	0.031210 	0.0016178 
0.41667 	0.032912 	0.0016178 
0.43333 	0.034614 	0.0016178 
0.45000 	0.036317 	0.0016178 
0.46667 	0.038019 	0.0016178 
0.48333 	0.039721 	0.00000 
0.50000 	0.041234 	0.0016178 
0.51667 	0.042937 	0.0016178 
0.53333 	0.044639 	0.00000 
0.55000 	0.046152 	0.0016178 
0.56667 	0.047855 	0.0016178 
0.58333 	0.049746 	0.0016178 
0.60000 	0.051259 	0.0016178 
0.61667 	0.052962 	0.0016178 
0.63333 	0.054664 	0.0016178 
0.65000 	0.056177 	0.0016178 
0.66667 	0.057690 	0.0016178 
0.68333 	0.059204 	0.00000 
0.70000 	0.060906 	0.0016178 
0.71667 	0.062608 	0.0016178 
0.73333 	0.064311 	0.0016178 
0.75000 	0.065824 	0.0016178 
0.76667 	0.067526 	0.0016178 
0.78333 	0.069229 	0.0016178 
0.80000 	0.070931 	0.0016178 
0.81667 	0.072444 	0.0016178 
0.83333 	0.074146 	0.0016178 
0.85000 	0.075849 	0.0016178 
0.86667 	0.077551 	0.0016178 
0.88333 	0.079253 	0.0016178 
0.90000 	0.080956 	0.0016178 
0.91667 	0.082658 	0.0016178 
0.93333 	0.084360 	0.0016178 
0.95000 	0.086063 	0.0016178 
0.96667 	0.087765 	0.0016178 
0.98333 	0.089278 	0.0016178 
1.0000 	0.090981 	0.0016178 
1.0167 	0.092683 	0.0016178 
1.0333 	0.094385 	0.0016178 
1.0500 	0.096088 	0.0032355 
1.0667 	0.097790 	0.0032355 
1.0833 	0.099682 	0.0016178 
1.1000 	0.10119 	0.0016178 
1.1167 	0.10290 	0.0016178 
1.1333 	0.10441 	0.0016178 
1.1500 	0.10611 	0.0032355 
1.1667 	0.10763 	0.0032355 
1.1833 	0.10933 	0.0032355 
1.2000 	0.11103 	0.0016178 
1.2167 	0.11273 	0.0032355 
1.2333 	0.11444 	0.0032355 
1.2500 	0.11614 	0.0032355 
1.2667 	0.11784 	0.0032355 
1.2833 	0.11935 	0.0032355 
1.3000 	0.12106 	0.0016178 
1.3167 	0.12257 	0.0032355 
1.3333 	0.12427 	0.0032355 
1.3500 	0.12597 	0.0032355 
1.3667 	0.12768 	0.0032355 
1.3833 	0.12938 	0.0032355 
1.4000 	0.13108 	0.0032355 
1.4167 	0.13278 	0.0032355 
1.4333 	0.13448 	0.0032355 
