Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.10000 	0.0018915 	0.00000 
0.11667 	0.0037830 	0.00000 
0.13333 	0.0056745 	0.00000 
0.15000 	0.0069985 	0.00000 
0.16667 	0.0079443 	0.00000 
0.18333 	0.0092683 	0.00000 
0.20000 	0.010592 	0.00000 
0.21667 	0.012106 	0.00000 
0.23333 	0.013619 	0.00000 
0.25000 	0.015132 	0.00000 
0.26667 	0.016834 	0.00000 
0.28333 	0.018537 	0.00000 
0.30000 	0.020239 	0.0016178 
0.31667 	0.022320 	0.00000 
0.33333 	0.024400 	0.00000 
0.35000 	0.026103 	0.00000 
0.36667 	0.027805 	0.00000 
0.38333 	0.029507 	0.00000 
0.40000 	0.031210 	0.00000 
0.41667 	0.032912 	0.00000 
0.43333 	0.034614 	0.00000 
0.45000 	0.036317 	0.00000 
0.46667 	0.038019 	0.00000 
0.48333 	0.039721 	0.00000 
0.50000 	0.041424 	0.00000 
0.51667 	0.043126 	0.00000 
0.53333 	0.044639 	0.00000 
0.55000 	0.046342 	0.00000 
0.56667 	0.047855 	0.00000 
0.58333 	0.049557 	0.00000 
0.60000 	0.051259 	0.00000 
0.61667 	0.053151 	0.00000 
0.63333 	0.054853 	0.00000 
0.65000 	0.056366 	0.00000 
0.66667 	0.058069 	0.00000 
0.68333 	0.059582 	0.00000 
0.70000 	0.061284 	0.00000 
0.71667 	0.062797 	0.00000 
0.73333 	0.064500 	0.00000 
0.75000 	0.066202 	0.00000 
0.76667 	0.067715 	0.00000 
0.78333 	0.069418 	0.00000 
0.80000 	0.071120 	0.00000 
0.81667 	0.072633 	0.00000 
0.83333 	0.074336 	0.00000 
0.85000 	0.075849 	0.0016178 
0.86667 	0.077362 	0.00000 
0.88333 	0.079064 	0.00000 
0.90000 	0.080767 	0.00000 
0.91667 	0.082469 	0.0016178 
0.93333 	0.084360 	0.00000 
0.95000 	0.086063 	0.0016178 
0.96667 	0.087576 	0.00000 
0.98333 	0.089278 	0.00000 
1.0000 	0.090981 	0.00000 
1.0167 	0.092494 	0.00000 
1.0333 	0.094196 	0.00000 
1.0500 	0.095899 	0.00000 
1.0667 	0.097790 	0.00000 
1.0833 	0.099492 	0.00000 
1.1000 	0.10138 	0.00000 
1.1167 	0.10309 	0.00000 
1.1333 	0.10460 	0.00000 
1.1500 	0.10630 	0.0016178 
1.1667 	0.10800 	0.00000 
1.1833 	0.10952 	-0.0016194 
1.2000 	0.11122 	0.00000 
1.2167 	0.11292 	0.00000 
1.2333 	0.11462 	0.00000 
1.2500 	0.11633 	0.00000 
1.2667 	0.11803 	0.0016178 
1.2833 	0.11973 	0.00000 
1.3000 	0.12124 	0.00000 
1.3167 	0.12295 	0.00000 
1.3333 	0.12446 	0.00000 
1.3500 	0.12616 	0.00000 
1.3667 	0.12786 	0.0016178 
1.3833 	0.12957 	0.00000 
1.4000 	0.13127 	0.00000 
1.4167 	0.13297 	0.00000 
1.4333 	0.13467 	0.00000 
1.4500 	0.13638 	0.00000 
1.4667 	0.13789 	0.00000 
1.4833 	0.13959 	0.00000 
1.5000 	0.14111 	0.00000 
1.5167 	0.14281 	0.00000 
1.5333 	0.14451 	0.00000 
1.5500 	0.14621 	0.00000 
1.5667 	0.14810 	0.00000 
1.5833 	0.14981 	0.00000 
1.6000 	0.15132 	0.00000 
1.6167 	0.15302 	0.0016178 
1.6333 	0.15453 	0.00000 
1.6500 	0.15624 	0.00000 
1.6667 	0.15775 	0.0016178 
1.6833 	0.15945 	0.00000 
1.7000 	0.16115 	0.00000 
1.7167 	0.16286 	0.0016178 
1.7333 	0.16456 	0.00000 
1.7500 	0.16626 	0.00000 
1.7667 	0.16778 	0.0016178 
1.7833 	0.16929 	0.0016178 
1.8000 	0.17099 	0.00000 
1.8167 	0.17250 	0.00000 
1.8333 	0.17421 	0.0016178 
