Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.083333 	0.00075660 	-0.0016194 
0.10000 	0.0020806 	-0.0016194 
0.11667 	0.0037830 	-0.0016194 
0.13333 	0.0052962 	-0.0016194 
0.15000 	0.0066202 	-0.0016194 
0.16667 	0.0077551 	0.00000 
0.18333 	0.0088900 	0.00000 
0.20000 	0.010214 	0.00000 
0.21667 	0.011727 	0.0016178 
0.23333 	0.013430 	0.0016178 
0.25000 	0.014943 	0.0016178 
0.26667 	0.016834 	0.0032355 
0.28333 	0.018537 	0.0048533 
0.30000 	0.020239 	0.0048533 
0.31667 	0.022130 	0.0048533 
0.33333 	0.024022 	0.0048533 
0.35000 	0.025724 	0.0048533 
0.36667 	0.027427 	0.0048533 
0.38333 	0.029129 	0.0032355 
0.40000 	0.030831 	0.0032355 
0.41667 	0.032534 	0.0048533 
0.43333 	0.034425 	0.0048533 
0.45000 	0.035938 	0.0048533 
0.46667 	0.037641 	0.0032355 
0.48333 	0.039154 	0.0048533 
0.50000 	0.040667 	0.0048533 
0.51667 	0.042369 	0.0048533 
0.53333 	0.044072 	0.0048533 
0.55000 	0.045774 	0.0048533 
0.56667 	0.047476 	0.0048533 
0.58333 	0.049179 	0.0048533 
0.60000 	0.050881 	0.0048533 
0.61667 	0.052583 	0.0048533 
0.63333 	0.054097 	0.0048533 
0.65000 	0.055799 	0.0032355 
0.66667 	0.057312 	0.0048533 
0.68333 	0.059014 	0.0048533 
0.70000 	0.060717 	0.0064711 
0.71667 	0.062419 	0.0048533 
0.73333 	0.064311 	0.0048533 
0.75000 	0.066013 	0.0048533 
0.76667 	0.067715 	0.0064711 
0.78333 	0.069229 	0.0048533 
0.80000 	0.070931 	0.0048533 
0.81667 	0.072444 	0.0048533 
0.83333 	0.074146 	0.0048533 
0.85000 	0.075849 	0.0064711 
0.86667 	0.077551 	0.0048533 
0.88333 	0.079253 	0.0048533 
0.90000 	0.080956 	0.0032355 
0.91667 	0.082469 	0.0048533 
0.93333 	0.084171 	0.0048533 
