Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.066667 	0.00075660 	0.0016178 
0.083333 	0.0015132 	0.00000 
0.10000 	0.0022698 	0.00000 
0.11667 	0.0032155 	0.00000 
0.13333 	0.0043504 	0.00000 
0.15000 	0.0054853 	0.00000 
0.16667 	0.0071877 	0.00000 
0.18333 	0.0088900 	0.00000 
0.20000 	0.010971 	0.00000 
0.21667 	0.013051 	0.0016178 
0.23333 	0.014754 	0.00000 
0.25000 	0.016267 	0.00000 
0.26667 	0.017969 	0.0016178 
0.28333 	0.019861 	0.0016178 
0.30000 	0.021563 	0.00000 
0.31667 	0.023265 	0.00000 
0.33333 	0.025157 	0.0016178 
0.35000 	0.026859 	0.00000 
0.36667 	0.028372 	0.00000 
0.38333 	0.029886 	0.00000 
0.40000 	0.031588 	0.0016178 
0.41667 	0.033290 	0.00000 
0.43333 	0.034803 	0.0016178 
0.45000 	0.036695 	0.0016178 
0.46667 	0.038397 	0.00000 
0.48333 	0.040100 	0.0016178 
0.50000 	0.041802 	0.0016178 
0.51667 	0.043504 	0.0016178 
0.53333 	0.045017 	0.00000 
0.55000 	0.046531 	0.00000 
0.56667 	0.048233 	0.0016178 
0.58333 	0.049935 	0.0016178 
0.60000 	0.051638 	0.0016178 
0.61667 	0.053340 	0.00000 
0.63333 	0.055042 	0.00000 
0.65000 	0.056745 	0.0016178 
0.66667 	0.058447 	0.0016178 
0.68333 	0.059960 	0.0016178 
0.70000 	0.061473 	0.0016178 
0.71667 	0.062987 	0.0016178 
0.73333 	0.064689 	0.0016178 
0.75000 	0.066391 	0.00000 
0.76667 	0.068094 	0.0016178 
0.78333 	0.069796 	0.00000 
0.80000 	0.071498 	0.0016178 
0.81667 	0.073201 	0.0016178 
0.83333 	0.074714 	0.0016178 
0.85000 	0.076416 	0.0016178 
0.86667 	0.077929 	0.0016178 
0.88333 	0.079632 	0.0016178 
0.90000 	0.081334 	0.0016178 
0.91667 	0.083036 	0.0016178 
0.93333 	0.084928 	0.0016178 
0.95000 	0.086630 	0.00000 
0.96667 	0.088333 	0.0016178 
0.98333 	0.089846 	0.0016178 
