Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0016194 
0.083333 	0.0011349 	0.00000 
0.10000 	0.0018915 	0.00000 
0.11667 	0.0028372 	0.00000 
0.13333 	0.0037830 	0.00000 
0.15000 	0.0049179 	-0.0016194 
0.16667 	0.0062419 	0.00000 
0.18333 	0.0079443 	0.00000 
0.20000 	0.0096466 	0.00000 
0.21667 	0.011916 	0.00000 
0.23333 	0.013808 	0.00000 
0.25000 	0.015699 	0.00000 
0.26667 	0.017402 	0.00000 
0.28333 	0.019104 	0.00000 
0.30000 	0.020806 	0.00000 
0.31667 	0.022320 	0.00000 
0.33333 	0.023833 	0.00000 
0.35000 	0.025535 	0.00000 
0.36667 	0.027048 	0.0016178 
0.38333 	0.028940 	0.00000 
0.40000 	0.030642 	0.00000 
0.41667 	0.032344 	0.0016178 
0.43333 	0.034047 	0.00000 
0.45000 	0.035560 	0.00000 
0.46667 	0.037262 	0.0016178 
0.48333 	0.038776 	0.0016178 
0.50000 	0.040478 	0.00000 
0.51667 	0.042180 	0.00000 
0.53333 	0.043883 	0.00000 
0.55000 	0.045585 	0.00000 
0.56667 	0.047476 	0.00000 
0.58333 	0.049179 	0.0016178 
0.60000 	0.050692 	0.0016178 
0.61667 	0.052394 	0.0016178 
0.63333 	0.053907 	0.0016178 
0.65000 	0.055421 	0.0016178 
0.66667 	0.057123 	0.0016178 
0.68333 	0.058825 	0.0016178 
0.70000 	0.060528 	0.0016178 
0.71667 	0.062230 	0.0016178 
0.73333 	0.063932 	0.0016178 
0.75000 	0.065635 	0.0016178 
0.76667 	0.067148 	0.0016178 
0.78333 	0.068850 	0.0016178 
0.80000 	0.070363 	0.0032355 
0.81667 	0.071877 	0.0032355 
0.83333 	0.073579 	0.0016178 
0.85000 	0.075281 	0.0032355 
0.86667 	0.076984 	0.0032355 
0.88333 	0.078686 	0.0016178 
0.90000 	0.080388 	0.0032355 
0.91667 	0.082091 	0.0048533 
0.93333 	0.083793 	0.0032355 
0.95000 	0.085306 	0.0032355 
0.96667 	0.086819 	0.0048533 
0.98333 	0.088522 	0.0032355 
1.0000 	0.090224 	0.0048533 
1.0167 	0.092116 	0.0048533 
1.0333 	0.093818 	0.0048533 
1.0500 	0.095520 	0.0064711 
1.0667 	0.097223 	0.0064711 
1.0833 	0.098925 	0.0064711 
1.1000 	0.10063 	0.0064711 
1.1167 	0.10214 	0.0064711 
1.1333 	0.10384 	0.0080889 
1.1500 	0.10555 	0.0097066 
1.1667 	0.10725 	0.011324 
1.1833 	0.10895 	0.012942 
1.2000 	0.11065 	0.012942 
1.2167 	0.11235 	0.014560 
1.2333 	0.11387 	0.017796 
1.2500 	0.11557 	0.019413 
1.2667 	0.11708 	0.021031 
1.2833 	0.11879 	0.024267 
1.3000 	0.12030 	0.025884 
1.3167 	0.12200 	0.027502 
1.3333 	0.12370 	0.029120 
1.3500 	0.12541 	0.032355 
1.3667 	0.12711 	0.033973 
1.3833 	0.12881 	0.037209 
1.4000 	0.13032 	0.038827 
1.4167 	0.13203 	0.040444 
1.4333 	0.13354 	0.043680 
1.4500 	0.13524 	0.046915 
1.4667 	0.13694 	0.048533 
1.4833 	0.13865 	0.050151 
1.5000 	0.14035 	0.051769 
1.5167 	0.14224 	0.055004 
1.5333 	0.14394 	0.058240 
1.5500 	0.14546 	0.059858 
1.5667 	0.14716 	0.063093 
1.5833 	0.14886 	0.064711 
1.6000 	0.15037 	0.066329 
1.6167 	0.15208 	0.069564 
1.6333 	0.15378 	0.072800 
1.6500 	0.15548 	0.074418 
1.6667 	0.15718 	0.076035 
1.6833 	0.15889 	0.079271 
1.7000 	0.16040 	0.080889 
1.7167 	0.16210 	0.084124 
1.7333 	0.16361 	0.085742 
1.7500 	0.16532 	0.087360 
1.7667 	0.16683 	0.090595 
1.7833 	0.16853 	0.092213 
1.8000 	0.17023 	0.093831 
1.8167 	0.17194 	0.098684 
1.8333 	0.17364 	0.098684 
1.8500 	0.17534 	0.10030 
1.8667 	0.17704 	0.10516 
1.8833 	0.17856 	0.10677 
1.9000 	0.18026 	0.10839 
1.9167 	0.18196 	0.11163 
1.9333 	0.18366 	0.11324 
1.9500 	0.18537 	0.11648 
1.9667 	0.18726 	0.11810 
1.9833 	0.18896 	0.11972 
2.0000 	0.19066 	0.12295 
2.0167 	0.19236 	0.12619 
2.0333 	0.19407 	0.12780 
2.0500 	0.19577 	0.13104 
2.0667 	0.19728 	0.13428 
2.0833 	0.19880 	0.13589 
2.1000 	0.20069 	0.13751 
2.1167 	0.20239 	0.14075 
2.1333 	0.20409 	0.14236 
2.1500 	0.20579 	0.14560 
2.1667 	0.20750 	0.14884 
2.1833 	0.20901 	0.15045 
2.2000 	0.21052 	0.15207 
2.2167 	0.21223 	0.15531 
2.2333 	0.21374 	0.15692 
2.2500 	0.21544 	0.16016 
2.2667 	0.21714 	0.16340 
2.2833 	0.21885 	0.16501 
2.3000 	0.22055 	0.16501 
2.3167 	0.22225 	0.16825 
2.3333 	0.22395 	0.17148 
2.3667 	0.22698 	0.17472 
2.3833 	0.22868 	0.17634 
2.4000 	0.23038 	0.17957 
2.4333 	0.23360 	0.18281 
2.4500 	0.23530 	0.18604 
2.4667 	0.23700 	0.18766 
2.4833 	0.23871 	0.18928 
2.5000 	0.24041 	0.19090 
2.5167 	0.24211 	0.19413 
2.5500 	0.24533 	0.19737 
2.5833 	0.24854 	0.20222 
2.6000 	0.25043 	0.20384 
2.6333 	0.25384 	0.20707 
2.6667 	0.25705 	0.21193 
2.7000 	0.26046 	0.21678 
2.7333 	0.26367 	0.22002 
2.7667 	0.26708 	0.22325 
2.8000 	0.27048 	0.22811 
2.8333 	0.27370 	0.23134 
2.8667 	0.27710 	0.23458 
2.9000 	0.28051 	0.23781 
2.9333 	0.28391 	0.24267 
2.9667 	0.28713 	0.24590 
3.0000 	0.29053 	0.24914 
3.0333 	0.29375 	0.25075 
3.0667 	0.29696 	0.25399 
3.1000 	0.30037 	0.25884 
3.1333 	0.30358 	0.26046 
3.1667 	0.30680 	0.26370 
3.2000 	0.31020 	0.26370 
3.2333 	0.31361 	0.26855 
3.2667 	0.31701 	0.27179 
